cond,target,anchor,pseudo,r,resid,lam,rmse,bias,n,n_fold,n_seed
covonly,Canada,stefan_soil,tddlin,10.0,mlp,0.5,30.830333333333332,-11.172333333333333,370,1,3
covonly,Canada,stefan_soil,tddlin,10.0,mlp,0.75,30.77,-11.056666666666667,370,1,3
covonly,Canada,stefan_soil,tddlin,10.0,mlp,1.0,30.712,-10.941333333333333,370,1,3
covonly,Canada,stefan_soil,tddlin,10.0,ridge,0.0,30.959,-11.403,370,1,3
covonly,Canada,stefan_soil,tddlin,10.0,ridge,0.25,30.766000000000002,-11.087666666666665,370,1,3
covonly,Canada,stefan_soil,tddlin,10.0,ridge,0.5,30.578,-10.771666666666667,370,1,3
covonly,Canada,stefan_soil,tddlin,10.0,ridge,0.75,30.395333333333337,-10.456000000000001,370,1,3
covonly,Canada,stefan_soil,tddlin,10.0,ridge,1.0,30.217333333333332,-10.140333333333333,370,1,3
covonly,Canada,stefan_soil_cci,cci,10.0,catboost_lo,0.0,28.804999999999996,-0.579,370,1,3
covonly,Canada,stefan_soil_cci,cci,10.0,catboost_lo,0.25,29.366,0.9636666666666667,370,1,3
covonly,Canada,stefan_soil_cci,cci,10.0,catboost_lo,0.5,30.132666666666665,2.506,370,1,3
covonly,Canada,stefan_soil_cci,cci,10.0,catboost_lo,0.75,31.089,4.048333333333334,370,1,3
covonly,Canada,stefan_soil_cci,cci,10.0,catboost_lo,1.0,32.21866666666667,5.591,370,1,3
covonly,Canada,stefan_soil_cci,cci,10.0,mlp,0.0,28.804999999999996,-0.579,370,1,3
covonly,Canada,stefan_soil_cci,cci,10.0,mlp,0.25,29.481666666666666,1.793,370,1,3
covonly,Canada,stefan_soil_cci,cci,10.0,mlp,0.5,30.60466666666667,4.165,370,1,3
covonly,Canada,stefan_soil_cci,cci,10.0,mlp,0.75,32.128,6.537333333333334,370,1,3
covonly,Canada,stefan_soil_cci,cci,10.0,mlp,1.0,33.99733333333333,8.909333333333334,370,1,3
covonly,Canada,stefan_soil_cci,cci,10.0,ridge,0.0,28.804999999999996,-0.579,370,1,3
covonly,Canada,stefan_soil_cci,cci,10.0,ridge,0.25,29.64033333333333,2.263333333333333,370,1,3
covonly,Canada,stefan_soil_cci,cci,10.0,ridge,0.5,31.072333333333333,5.106333333333333,370,1,3
covonly,Canada,stefan_soil_cci,cci,10.0,ridge,0.75,33.02333333333333,7.948666666666667,370,1,3
covonly,Canada,stefan_soil_cci,cci,10.0,ridge,1.0,35.406666666666666,10.791333333333334,370,1,3
covonly,Canada,stefan_soil_cci,const,10.0,catboost_lo,0.0,28.804999999999996,-0.579,370,1,3
covonly,Canada,stefan_soil_cci,const,10.0,catboost_lo,0.25,29.915666666666667,-6.529333333333334,370,1,3
covonly,Canada,stefan_soil_cci,const,10.0,catboost_lo,0.5,32.675999999999995,-12.479999999999999,370,1,3
covonly,Canada,stefan_soil_cci,const,10.0,catboost_lo,0.75,36.71366666666666,-18.430333333333333,370,1,3
covonly,Canada,stefan_soil_cci,const,10.0,catboost_lo,1.0,41.659,-24.380333333333336,370,1,3
