setting,region,seed,lam,n,family,anchor,resid,pseudo,r,rmse_cm,bias_cm,ci_lo,ci_hi,error
pseudo,Lena,1,0.75,1518,model,stefan,ridge,const,5.0,15.441,5.794,13.270387628084668,24.45662901072377,
pseudo,Lena,1,1.0,1518,model,stefan,ridge,const,5.0,14.815,3.823,12.609247247091858,24.724106397273484,
pseudo,Lena,2,0.0,1518,model,stefan,ridge,const,5.0,18.548,11.705,16.277760661947624,25.419895252173298,
pseudo,Lena,2,0.25,1518,model,stefan,ridge,const,5.0,17.347,9.743,15.19913003814655,24.46999972461951,
pseudo,Lena,2,0.5,1518,model,stefan,ridge,const,5.0,16.305,7.782,14.228509935372625,23.930342199787237,
pseudo,Lena,2,0.75,1518,model,stefan,ridge,const,5.0,15.455,5.82,13.419309832860467,24.200233536986353,
pseudo,Lena,2,1.0,1518,model,stefan,ridge,const,5.0,14.83,3.858,12.748550535177925,24.642392206054907,
pseudo,Lena,0,0.0,1518,model,stefan,catboost,stefan,5.0,18.548,11.705,16.241707210329377,26.44619284415228,
pseudo,Lena,0,0.25,1518,model,stefan,catboost,stefan,5.0,18.541,11.701,16.244894316577103,26.407502201690463,
pseudo,Lena,0,0.5,1518,model,stefan,catboost,stefan,5.0,18.535,11.696,16.248627659243997,26.36426371079639,
pseudo,Lena,0,0.75,1518,model,stefan,catboost,stefan,5.0,18.529,11.692,16.25290686401953,26.32427875713997,
pseudo,Lena,0,1.0,1518,model,stefan,catboost,stefan,5.0,18.523,11.687,16.257731501921963,26.293226802073043,
pseudo,Lena,1,0.0,1518,model,stefan,catboost,stefan,5.0,18.548,11.705,16.08377859260714,25.871935510091735,
pseudo,Lena,1,0.25,1518,model,stefan,catboost,stefan,5.0,18.539,11.718,16.088360312602756,25.78760598812078,
pseudo,Lena,1,0.5,1518,model,stefan,catboost,stefan,5.0,18.531,11.73,16.09503513531234,25.739607684095535,
pseudo,Lena,1,0.75,1518,model,stefan,catboost,stefan,5.0,18.524,11.742,16.104235236343776,25.694273834764353,
pseudo,Lena,1,1.0,1518,model,stefan,catboost,stefan,5.0,18.518,11.755,16.1145139947932,25.65127251113613,
pseudo,Lena,2,0.0,1518,model,stefan,catboost,stefan,5.0,18.548,11.705,16.277760661947624,25.419895252173298,
pseudo,Lena,2,0.25,1518,model,stefan,catboost,stefan,5.0,18.537,11.717,16.28994376717535,25.378142350474537,
pseudo,Lena,2,0.5,1518,model,stefan,catboost,stefan,5.0,18.527,11.728,16.30301531128086,25.332436906374355,
pseudo,Lena,2,0.75,1518,model,stefan,catboost,stefan,5.0,18.517,11.739,16.316973165313943,25.28308061262655,
pseudo,Lena,2,1.0,1518,model,stefan,catboost,stefan,5.0,18.508,11.751,16.331815063231193,25.234234955507887,
pseudo,Lena,0,0.0,1518,model,stefan,catboost,cci,10.0,18.548,11.705,16.241707210329377,26.44619284415228,
pseudo,Lena,0,0.25,1518,model,stefan,catboost,cci,10.0,15.91,6.772,13.701709801026869,26.482995988618505,
pseudo,Lena,0,0.5,1518,model,stefan,catboost,cci,10.0,14.556,1.84,12.18168642670192,27.729936598040588,
pseudo,Lena,0,0.75,1518,model,stefan,catboost,cci,10.0,14.84,-3.093,11.747835029238074,29.93059583581893,
pseudo,Lena,0,1.0,1518,model,stefan,catboost,cci,10.0,16.68,-8.026,13.040626968890592,32.872382757993726,
pseudo,Lena,1,0.0,1518,model,stefan,catboost,cci,10.0,18.548,11.705,16.08377859260714,25.871935510091735,
pseudo,Lena,1,0.25,1518,model,stefan,catboost,cci,10.0,15.925,6.793,13.713927967357254,24.74891138133334,
pseudo,Lena,1,0.5,1518,model,stefan,catboost,cci,10.0,14.58,1.881,12.141208406296574,25.452362679731515,
pseudo,Lena,1,0.75,1518,model,stefan,catboost,cci,10.0,14.861,-3.03,11.409726705775498,27.498250601447264,
