proto,target,family,anchor,pseudo,resid,r,lam,rmse,bias,sd,n,nseed,name
half,Canada,anchored,stefan,stefan,catboost,2.0,1.0,31.078,-8.121666666666666,0.16643316977093353,371,3,Stefan 앵커 + 부스팅 잔차(λ=1) · Stefan 증강(r=2)
half,Canada,anchored,stefan,stefan,catboost,5.0,0.0,31.289,-8.507,0.0,371,3,Stefan 앵커 + 부스팅 잔차(λ=0) · Stefan 증강(r=5)
half,Canada,anchored,stefan,stefan,catboost,5.0,0.25,31.267666666666667,-8.531,0.03781974792794651,371,3,Stefan 앵커 + 부스팅 잔차(λ=0.25) · Stefan 증강(r=5)
half,Canada,anchored,stefan,stefan,catboost,5.0,0.5,31.247333333333334,-8.555666666666667,0.07565932416651099,371,3,Stefan 앵커 + 부스팅 잔차(λ=0.5) · Stefan 증강(r=5)
half,Canada,anchored,stefan,stefan,catboost,5.0,0.75,31.229,-8.58,0.11262326580240911,371,3,Stefan 앵커 + 부스팅 잔차(λ=0.75) · Stefan 증강(r=5)
half,Canada,anchored,stefan,stefan,catboost,5.0,1.0,31.21166666666667,-8.604666666666667,0.14961728955349202,371,3,Stefan 앵커 + 부스팅 잔차(λ=1) · Stefan 증강(r=5)
half,Canada,anchored,stefan,stefan,catboost,10.0,0.0,31.289,-8.507,0.0,371,3,Stefan 앵커 + 부스팅 잔차(λ=0) · Stefan 증강(r=10)
half,Canada,anchored,stefan,stefan,catboost,10.0,0.25,31.171000000000003,-8.338666666666667,0.06780117993073595,371,3,Stefan 앵커 + 부스팅 잔차(λ=0.25) · Stefan 증강(r=10)
half,Canada,anchored,stefan,stefan,catboost,10.0,0.5,31.05666666666667,-8.170666666666667,0.1324625733304812,371,3,Stefan 앵커 + 부스팅 잔차(λ=0.5) · Stefan 증강(r=10)
half,Canada,anchored,stefan,stefan,catboost,10.0,0.75,30.945999999999998,-8.002666666666666,0.19424469104714276,371,3,Stefan 앵커 + 부스팅 잔차(λ=0.75) · Stefan 증강(r=10)
half,Canada,anchored,stefan,stefan,catboost,10.0,1.0,30.838666666666665,-7.834666666666666,0.2545905209023573,371,3,Stefan 앵커 + 부스팅 잔차(λ=1) · Stefan 증강(r=10)
