source,site,lat,lon,depth_m,temp_c,year,elev_m,gtnp_id
PERMOS,COR_0200,46.4285,9.822,52.0,0.19625,2018.0,2672.3,CH 14
PERMOS,COR_0200,46.4285,9.822,62.0,-0.16111,2020.0,2672.3,CH 14
PERMOS,COR_0200,46.4285,9.822,44.0,0.41773,2022.0,2672.3,CH 14
PERMOS,COR_0200,46.4285,9.822,42.0,-0.15512,2010.0,2672.3,CH 14
PERMOS,COR_0200,46.4285,9.822,59.0,0.00746,2002.0,2672.3,CH 14
PERMOS,COR_0200,46.4285,9.822,30.0,-0.31352,2019.0,2672.3,CH 14
PERMOS,COR_0200,46.4285,9.822,20.0,-0.68662,2005.0,2672.3,CH 14
PERMOS,COR_0200,46.4285,9.822,61.0,-0.11515,2009.0,2672.3,CH 14
PERMOS,COR_0200,46.4285,9.822,42.0,-0.12209,2005.0,2672.3,CH 14
PERMOS,COR_0200,46.4285,9.822,56.0,0.01231,2001.0,2672.3,CH 14
PERMOS,COR_0200,46.4285,9.822,58.0,-0.09341,2014.0,2672.3,CH 14
PERMOS,COR_0200,46.4285,9.822,30.0,-0.0601,2005.0,2672.3,CH 14
PERMOS,COR_0200,46.4285,9.822,59.0,-0.31171,2017.0,2672.3,CH 14
PERMOS,COR_0200,46.4285,9.822,46.0,-0.06366,2007.0,2672.3,CH 14
PERMOS,COR_0200,46.4285,9.822,46.0,-0.04283,2003.0,2672.3,CH 14
PERMOS,COR_0200,46.4285,9.822,60.0,0.08886,2007.0,2672.3,CH 14
PERMOS,COR_0200,46.4285,9.822,62.0,0.01968,2009.0,2672.3,CH 14
PERMOS,COR_0200,46.4285,9.822,58.0,0.0271,2001.0,2672.3,CH 14
PERMOS,COR_0200,46.4285,9.822,54.0,-0.03252,2022.0,2672.3,CH 14
PERMOS,COR_0200,46.4285,9.822,60.0,0.13881,2009.0,2672.3,CH 14
PERMOS,COR_0200,46.4285,9.822,44.0,0.41829,2012.0,2672.3,CH 14
PERMOS,COR_0200,46.4285,9.822,60.0,0.08982,2017.0,2672.3,CH 14
PERMOS,COR_0200,46.4285,9.822,59.0,0.27645,2014.0,2672.3,CH 14
PERMOS,COR_0200,46.4285,9.822,42.0,-0.16186,2011.0,2672.3,CH 14
PERMOS,COR_0200,46.4285,9.822,44.0,0.04058,2001.0,2672.3,CH 14
PERMOS,COR_0200,46.4285,9.822,44.0,0.39671,2009.0,2672.3,CH 14
PERMOS,COR_0200,46.4285,9.822,56.0,0.04059,2010.0,2672.3,CH 14
PERMOS,COR_0200,46.4285,9.822,61.0,-2.29115,2021.0,2672.3,CH 14
PERMOS,COR_0200,46.4285,9.822,57.0,1.187,2019.0,2672.3,CH 14
PERMOS,COR_0200,46.4285,9.822,54.0,0.28276,2007.0,2672.3,CH 14
PERMOS,COR_0200,46.4285,9.822,46.0,-0.07983,2017.0,2672.3,CH 14
PERMOS,COR_0200,46.4285,9.822,44.0,0.35787,2019.0,2672.3,CH 14
PERMOS,COR_0200,46.4285,9.822,44.0,0.33619,2020.0,2672.3,CH 14
PERMOS,COR_0200,46.4285,9.822,56.0,0.04997,2008.0,2672.3,CH 14
PERMOS,COR_0200,46.4285,9.822,58.0,0.08318,2006.0,2672.3,CH 14
PERMOS,COR_0200,46.4285,9.822,56.0,0.05606,2006.0,2672.3,CH 14
PERMOS,COR_0200,46.4285,9.822,50.0,-0.06411,2008.0,2672.3,CH 14
PERMOS,COR_0200,46.4285,9.822,52.0,0.00472,2001.0,2672.3,CH 14
PERMOS,COR_0200,46.4285,9.822,48.0,-0.05636,2008.0,2672.3,CH 14
PERMOS,COR_0200,46.4285,9.822,52.0,0.06599,2004.0,2672.3,CH 14
PERMOS,COR_0200,46.4285,9.822,59.0,0.15221,2007.0,2672.3,CH 14
PERMOS,COR_0200,46.4285,9.822,58.0,-0.24547,2020.0,2672.3,CH 14
PERMOS,COR_0200,46.4285,9.822,59.0,0.01142,2003.0,2672.3,CH 14
PERMOS,COR_0200,46.4285,9.822,59.0,0.08849,2005.0,2672.3,CH 14
PERMOS,COR_0200,46.4285,9.822,62.0,0.2938,2005.0,2672.3,CH 14
PERMOS,COR_0200,46.4285,9.822,40.0,-0.07497,2003.0,2672.3,CH 14
PERMOS,COR_0200,46.4285,9.822,56.0,0.03328,2011.0,2672.3,CH 14
PERMOS,COR_0200,46.4285,9.822,52.0,0.10185,2005.0,2672.3,CH 14
PERMOS,MAT_0205,45.9823,7.6761,10.0,-3.00281,2006.0,3343.956,CH 09
PERMOS,MAT_0205,45.9823,7.6761,30.0,-2.90289,2008.0,3343.956,CH 09
PERMOS,MAT_0205,45.9823,7.6761,30.0,-2.92946,2007.0,3343.956,CH 09
PERMOS,ATT_0108,46.0968,7.2731,10.0,-0.99593,2010.0,2661.0,CH 01
PERMOS,ATT_0108,46.0968,7.2731,3.0,-0.40092,2015.0,2661.0,CH 01
PERMOS,ATT_0108,46.0968,7.2731,7.0,-0.97633,2009.0,2661.0,CH 01
PERMOS,ATT_0108,46.0968,7.2731,5.0,-0.81388,2012.0,2661.0,CH 01
PERMOS,ATT_0108,46.0968,7.2731,10.0,-0.59874,2015.0,2661.0,CH 01
PERMOS,ATT_0108,46.0968,7.2731,15.0,-0.59567,2018.0,2661.0,CH 01
PERMOS,ATT_0108,46.0968,7.2731,17.5,-0.46087,2016.0,2661.0,CH 01
PERMOS,ATT_0108,46.0968,7.2731,8.5,-0.77591,2017.0,2661.0,CH 01
PERMOS,ATT_0108,46.0968,7.2731,10.0,-0.66619,2021.0,2661.0,CH 01
PERMOS,ATT_0108,46.0968,7.2731,5.0,-1.16937,2011.0,2661.0,CH 01
