target,model,phys,r,seed,rmse_cm,mae_cm,bias_cm,skill,delta_rmse_vs_base
Lena,mlp,kudryavtsev,0.25,SUMMARY,31.822666666666667,,,,36571.83133333334
Lena,mlp,kudryavtsev,0.5,SUMMARY,31.933999999999997,,,,36571.72000000001
Lena,mlp,kudryavtsev,1.0,SUMMARY,31.956333333333333,,,,36571.697666666674
Lena,mlp,kudryavtsev,2.0,SUMMARY,31.87433333333333,,,,36571.779666666676
Lena,mlp,kudryavtsev,5.0,SUMMARY,32.09866666666667,,,,36571.555333333345
Lena,mlp,kudryavtsev,10.0,SUMMARY,32.281333333333336,,,,36571.37266666668
Lena,mlp,placebo,0.25,SUMMARY,18.238,,,,36585.41600000001
Lena,mlp,placebo,0.5,SUMMARY,18.18766666666667,,,,36585.466333333345
Lena,mlp,placebo,1.0,SUMMARY,18.212666666666667,,,,36585.44133333334
Lena,mlp,placebo,2.0,SUMMARY,18.160333333333334,,,,36585.493666666676
Lena,mlp,placebo,5.0,SUMMARY,18.17533333333333,,,,36585.47866666668
Lena,mlp,placebo,10.0,SUMMARY,18.203000000000003,,,,36585.45100000001
Canada,catboost,stefan,0.0,0,34.375,24.985,-15.023,-0.03025784892865402,
Canada,catboost,stefan,0.0,1,34.352,24.801,-15.512,-0.029558438724387015,
Canada,catboost,stefan,0.0,2,33.144,23.966,-14.238,0.006640654641878352,
Canada,catboost,stefan,0.25,0,32.167,23.755,-10.255,0.03592479248164093,
Canada,catboost,stefan,0.25,1,32.575,24.359,-9.769,0.023701922553770682,
Canada,catboost,stefan,0.25,2,32.75,24.196,-10.762,0.0184582365193674,
Canada,catboost,stefan,0.5,0,32.367,23.856,-10.463,0.029929814349492156,
Canada,catboost,stefan,0.5,1,32.679,24.213,-10.488,0.020584527959642385,
Canada,catboost,stefan,0.5,2,32.546,23.915,-10.791,0.024581182821933223,
Canada,catboost,stefan,1.0,0,32.156,23.768,-10.269,0.03625640754213899,
Canada,catboost,stefan,1.0,1,32.471,23.976,-10.616,0.026821128652609327,
Canada,catboost,stefan,1.0,2,32.491,24.03,-10.306,0.02622031409235026,
Canada,catboost,stefan,2.0,0,31.923,23.601,-9.89,0.043254617839055265,
Canada,catboost,stefan,2.0,1,32.385,23.786,-10.717,0.029394310577499527,
Canada,catboost,stefan,2.0,2,32.377,23.939,-10.23,0.029642817908148156,
Canada,catboost,stefan,5.0,0,32.144,23.608,-10.705,0.03660956067406029,
Canada,catboost,stefan,5.0,1,31.991,23.382,-11.271,0.04120234359712449,
Canada,catboost,stefan,5.0,2,32.227,23.508,-11.39,0.03413836423051331,
Canada,catboost,stefan,10.0,0,31.521,23.042,-10.876,0.05528854294580876,
Canada,catboost,stefan,10.0,1,31.797,23.198,-11.279,0.047019191157880336,
Canada,catboost,stefan,10.0,2,32.12,23.488,-11.319,0.03733780059046887,
Canada,catboost,kudryavtsev,0.0,0,34.375,24.985,-15.023,-0.03025784892865402,
Canada,catboost,kudryavtsev,0.0,1,34.352,24.801,-15.512,-0.029558438724387015,
Canada,catboost,kudryavtsev,0.0,2,33.144,23.966,-14.238,0.006640654641878352,
Canada,catboost,kudryavtsev,0.25,0,55.142,48.081,45.317,-0.6526441719598233,
Canada,catboost,kudryavtsev,0.25,1,56.989,50.076,47.672,-0.7080141522260837,
Canada,catboost,kudryavtsev,0.25,2,56.382,49.451,46.912,-0.6898189843095113,
Canada,catboost,kudryavtsev,0.5,0,56.962,49.615,47.206,-0.7072144009889954,
Canada,catboost,kudryavtsev,0.5,1,57.896,50.916,48.674,-0.7351986305312159,
Canada,catboost,kudryavtsev,0.5,2,56.975,49.97,47.672,-0.707586371564211,
Canada,catboost,kudryavtsev,1.0,0,56.423,49.112,46.547,-0.6910339717074965,
Canada,catboost,kudryavtsev,1.0,1,57.318,50.176,47.8,-0.7178727817781188,
Canada,catboost,kudryavtsev,1.0,2,56.728,49.785,47.341,-0.7001844965469752,
Canada,catboost,kudryavtsev,2.0,0,56.53,49.658,47.201,-0.6942559079148976,
Canada,catboost,kudryavtsev,2.0,1,58.92,51.817,49.967,-0.7658972395864292,
Canada,catboost,kudryavtsev,2.0,2,57.493,50.495,48.235,-0.7231238910938604,
Canada,catboost,kudryavtsev,5.0,0,59.867,53.048,51.402,-0.7942786500980394,
Canada,catboost,kudryavtsev,5.0,1,57.877,51.067,49.037,-0.7346138396154791,
Canada,catboost,kudryavtsev,5.0,2,57.112,50.13,47.842,-0.7117040902327973,
Canada,catboost,kudryavtsev,10.0,0,59.653,52.898,51.211,-0.7878644852172296,
Canada,catboost,kudryavtsev,10.0,1,59.091,52.32,50.55,-0.7710181756858452,
Canada,catboost,kudryavtsev,10.0,2,57.239,50.465,48.233,-0.7154989679062529,
Canada,catboost,placebo,0.0,0,34.375,24.985,-15.023,-0.03025784892865402,
Canada,catboost,placebo,0.0,1,34.352,24.801,-15.512,-0.029558438724387015,
Canada,catboost,placebo,0.0,2,33.144,23.966,-14.238,0.006640654641878352,
Canada,catboost,placebo,0.25,0,41.886,30.275,-25.371,-0.25534706606331237,
Canada,catboost,placebo,0.25,1,42.082,30.511,-25.765,-0.2612222686967707,
Canada,catboost,placebo,0.25,2,42.261,30.579,-25.903,-0.26660980317005367,
Canada,catboost,placebo,0.5,0,42.333,30.68,-25.856,-0.26875003398629005,
Canada,catboost,placebo,0.5,1,41.75,30.212,-25.471,-0.25129766922108265,
Canada,catboost,placebo,0.5,2,41.76,30.179,-25.355,-0.25159296347614735,
Canada,catboost,placebo,1.0,0,42.498,30.902,-26.094,-0.2737110489723953,
Canada,catboost,placebo,1.0,1,41.787,30.26,-25.435,-0.25239249577334144,
Canada,catboost,placebo,1.0,2,42.345,30.731,-25.884,-0.2691230649795002,
Canada,catboost,placebo,2.0,0,41.822,30.321,-25.467,-0.2534502108198571,
Canada,catboost,placebo,2.0,1,42.149,30.585,-25.612,-0.2632315618792518,
Canada,catboost,placebo,2.0,2,41.755,30.286,-25.347,-0.25142308217824416,
Canada,catboost,placebo,5.0,0,42.076,30.488,-25.68,-0.26104941154118944,
Canada,catboost,placebo,5.0,1,42.117,30.575,-25.802,-0.26227812027153874,
Canada,catboost,placebo,5.0,2,42.226,30.67,-25.856,-0.2655492550174372,
Canada,catboost,placebo,10.0,0,41.756,30.312,-25.471,-0.2514494013572315,
Canada,catboost,placebo,10.0,1,42.018,30.48,-25.631,-0.259319806829603,
Canada,catboost,placebo,10.0,2,42.27,30.71,-25.717,-0.2668777770319646,
Canada,catboost,stefan,0.25,SUMMARY,32.49733333333334,,,,1.4596666666666707
Canada,catboost,stefan,0.5,SUMMARY,32.53066666666666,,,,1.4263333333333463
Canada,catboost,stefan,1.0,SUMMARY,32.37266666666667,,,,1.5843333333333405
Canada,catboost,stefan,2.0,SUMMARY,32.22833333333333,,,,1.7286666666666761
Canada,catboost,stefan,5.0,SUMMARY,32.120666666666665,,,,1.836333333333343
Canada,catboost,stefan,10.0,SUMMARY,31.81266666666666,,,,2.1443333333333463
Canada,catboost,kudryavtsev,0.25,SUMMARY,56.171,,,,-22.21399999999999
Canada,catboost,kudryavtsev,0.5,SUMMARY,57.27766666666667,,,,-23.32066666666666
Canada,catboost,kudryavtsev,1.0,SUMMARY,56.823,,,,-22.865999999999993
Canada,catboost,kudryavtsev,2.0,SUMMARY,57.64766666666667,,,,-23.690666666666665
Canada,catboost,kudryavtsev,5.0,SUMMARY,58.285333333333334,,,,-24.328333333333326
Canada,catboost,kudryavtsev,10.0,SUMMARY,58.661,,,,-24.703999999999994
Canada,catboost,placebo,0.25,SUMMARY,42.07633333333334,,,,-8.11933333333333
Canada,catboost,placebo,0.5,SUMMARY,41.94766666666666,,,,-7.990666666666655
Canada,catboost,placebo,1.0,SUMMARY,42.21,,,,-8.252999999999993
Canada,catboost,placebo,2.0,SUMMARY,41.90866666666667,,,,-7.951666666666661
Canada,catboost,placebo,5.0,SUMMARY,42.13966666666666,,,,-8.182666666666655
Canada,catboost,placebo,10.0,SUMMARY,42.01466666666667,,,,-8.057666666666663
Canada,mlp,stefan,0.0,0,16586.503,884.191,-871.044,-496.1118314814877,
Canada,mlp,stefan,0.0,1,17087.54,911.339,869.403,-511.12834991472744,
Canada,mlp,stefan,0.0,2,13667.305,736.541,687.21,-408.6209646876128,
Canada,mlp,stefan,0.25,0,27787.575,1465.976,-1452.75,-831.8176563947394,
Canada,mlp,stefan,0.25,1,16261.789,867.317,835.614,-486.3798873577002,
Canada,mlp,stefan,0.25,2,14524.105,777.224,743.466,-434.2999902330303,
Canada,mlp,stefan,0.5,0,6827.763,377.33,-364.698,-203.63395960790572,
Canada,mlp,stefan,0.5,1,5387.215,303.223,270.875,-160.45948983173398,
Canada,mlp,stefan,0.5,2,12666.188,680.963,647.151,-378.61661226843506,
Canada,mlp,stefan,1.0,0,8027.089,439.823,-426.647,-239.57880053222274,
Canada,mlp,stefan,1.0,1,5065.402,286.564,253.189,-150.81449024129256,
Canada,mlp,stefan,1.0,2,1627.183,107.378,74.499,-47.76807484244659,
Canada,mlp,stefan,2.0,0,8053.188,441.268,-427.746,-240.36100848378703,
Canada,mlp,stefan,2.0,1,126.786,29.587,-2.496,-2.799900882316445,
Canada,mlp,stefan,2.0,2,3977.197,229.51,197.02,-118.20002480195107,
Canada,mlp,stefan,5.0,0,34.454,23.952,-10.546,-0.032612200513535416,
Canada,mlp,stefan,5.0,1,31.595,23.524,-9.359,0.05307614762906754,
Canada,mlp,stefan,5.0,2,31.189,23.361,-10.238,0.06524853183850332,
Canada,mlp,stefan,10.0,0,32.34,23.367,-9.596,0.03073825467619995,
Canada,mlp,stefan,10.0,1,31.998,23.494,-9.436,0.040980658589791275,
Canada,mlp,stefan,10.0,2,33.539,24.047,-10.834,-0.0051875580481473005,
Canada,mlp,kudryavtsev,0.0,0,16586.503,884.191,-871.044,-496.1118314814877,
Canada,mlp,kudryavtsev,0.0,1,17087.54,911.339,869.403,-511.12834991472744,
Canada,mlp,kudryavtsev,0.0,2,13667.305,736.541,687.21,-408.6209646876128,
Canada,mlp,kudryavtsev,0.25,0,43444.309,2304.156,-2208.567,-1301.0635082887711,
Canada,mlp,kudryavtsev,0.25,1,17366.07,952.961,951.592,-519.4761446746926,
Canada,mlp,kudryavtsev,0.25,2,12242.829,684.944,683.179,-365.9281837715442,
Canada,mlp,kudryavtsev,0.5,0,19888.823,1082.715,-983.836,-595.0852345298013,
Canada,mlp,kudryavtsev,0.5,1,7062.65,420.299,419.26,-210.67374009263324,
Canada,mlp,kudryavtsev,0.5,2,6811.664,404.004,402.388,-203.15147429932244,
Canada,mlp,kudryavtsev,1.0,0,14016.221,778.095,-678.625,-419.07827694295077,
Canada,mlp,kudryavtsev,1.0,1,1034.081,107.572,106.613,-29.992287976378023,
Canada,mlp,kudryavtsev,1.0,2,858.764,95.874,94.614,-24.737902809642804,
Canada,mlp,kudryavtsev,2.0,0,8477.343,491.447,-389.777,-253.07330391359164,
Canada,mlp,kudryavtsev,2.0,1,388.241,73.793,33.087,-10.635916538668148,
Canada,mlp,kudryavtsev,2.0,2,64.7,53.236,52.178,-0.9391098789677492,
Canada,mlp,kudryavtsev,5.0,0,21698.415,1178.819,-1075.178,-649.3202754994956,
Canada,mlp,kudryavtsev,5.0,1,3714.893,247.289,-139.188,-110.33854783576399,
Canada,mlp,kudryavtsev,5.0,2,507.974,79.216,25.927,-14.224415244646055,
Canada,mlp,kudryavtsev,10.0,0,3453.356,232.113,-127.285,-102.50007821291828,
Canada,mlp,kudryavtsev,10.0,1,69.517,55.828,51.645,-1.0834789436565617,
Canada,mlp,kudryavtsev,10.0,2,1483.122,130.701,-23.904,-43.45046143609851,
Canada,mlp,placebo,0.0,0,16586.503,884.191,-871.044,-496.1118314814877,
Canada,mlp,placebo,0.0,1,17087.54,911.339,869.403,-511.12834991472744,
Canada,mlp,placebo,0.0,2,13667.305,736.541,687.21,-408.6209646876128,
Canada,mlp,placebo,0.25,0,15627.666,840.518,-835.855,-467.37466397251734,
Canada,mlp,placebo,0.25,1,34879.798,1840.828,1785.581,-1044.3777054213078,
Canada,mlp,placebo,0.25,2,20358.416,1087.449,1030.788,-609.1593484807476,
Canada,mlp,placebo,0.5,0,2873.891,179.217,-175.015,-85.1329861049303,
Canada,mlp,placebo,0.5,1,16283.973,875.296,820.024,-487.0447434185905,
Canada,mlp,placebo,0.5,2,12620.084,685.674,628.856,-377.2348361631954,
Canada,mlp,placebo,1.0,0,4595.086,268.535,-263.744,-136.7186885835855,
Canada,mlp,placebo,1.0,1,11161.528,609.488,554.066,-333.52063537886625,
Canada,mlp,placebo,1.0,2,26595.041,1411.142,1354.827,-796.0763781213827,
Canada,mlp,placebo,2.0,0,6816.869,384.007,-379.3,-203.30745233124065,
Canada,mlp,placebo,2.0,1,2024.107,135.358,79.406,-59.664228741693364,
Canada,mlp,placebo,2.0,2,9715.933,534.629,478.922,-290.1949256122488,
Canada,mlp,placebo,5.0,0,45.161,31.117,-26.384,-0.35350711693888814,
Canada,mlp,placebo,5.0,1,59.044,32.364,-23.192,-0.7696069301683517,
Canada,mlp,placebo,5.0,2,7942.027,442.573,386.765,-237.02942529801888,
Canada,mlp,placebo,10.0,0,42.575,30.824,-26.052,-0.27600179154717197,
Canada,mlp,placebo,10.0,1,42.144,30.775,-25.981,-0.2630856686601133,
Canada,mlp,placebo,10.0,2,1415.042,103.676,47.941,-41.41004427662055,
Canada,mlp,stefan,0.25,SUMMARY,19524.489666666665,,,,-3744.040333333329
Canada,mlp,stefan,0.5,SUMMARY,8293.722,,,,7486.727333333336
Canada,mlp,stefan,1.0,SUMMARY,4906.558,,,,10873.891333333337
Canada,mlp,stefan,2.0,SUMMARY,4052.3903333333333,,,,11728.059000000003
Canada,mlp,stefan,5.0,SUMMARY,32.41266666666667,,,,15748.036666666669
Canada,mlp,stefan,10.0,SUMMARY,32.62566666666667,,,,15747.823666666669
