proto,target,seed,lam,family,anchor,pseudo,resid,r,rmse_cm,bias_cm,n,ci_lo,ci_hi,error
half,Lena,1,0.5,anchored,stefan,stefan,mlp,10.0,16.177,7.435,1518,13.773802143025808,26.770891010241332,
half,Lena,1,0.75,anchored,stefan,stefan,mlp,10.0,16.187,7.471,1518,13.78804270333535,26.750692822553304,
half,Lena,1,1.0,anchored,stefan,stefan,mlp,10.0,16.198,7.507,1518,13.802665434612726,26.73078569840569,
half,Lena,2,0.0,anchored,stefan,stefan,mlp,10.0,16.157,7.363,1518,13.823848949163905,23.95155084923662,
half,Lena,2,0.25,anchored,stefan,stefan,mlp,10.0,16.149,7.382,1518,13.823480741870226,23.924440041722487,
half,Lena,2,0.5,anchored,stefan,stefan,mlp,10.0,16.14,7.401,1518,13.823313881367994,23.89862678081188,
half,Lena,2,0.75,anchored,stefan,stefan,mlp,10.0,16.133,7.42,1518,13.820916634502208,23.873919752114656,
half,Lena,2,1.0,anchored,stefan,stefan,mlp,10.0,16.125,7.439,1518,13.818396769496522,23.850496901721648,
half,Lena,0,0.0,anchored,stefan,cci,mlp,5.0,16.157,7.363,1518,13.660648018891463,26.100440164969392,
half,Lena,0,0.25,anchored,stefan,cci,mlp,5.0,14.847,3.654,1518,12.386713140581357,26.901164556722176,
half,Lena,0,0.5,anchored,stefan,cci,mlp,5.0,14.447,-0.055,1518,11.711940046304322,28.24625855875923,
half,Lena,0,0.75,anchored,stefan,cci,mlp,5.0,15.03,-3.764,1518,11.606693110141093,30.276728395853844,
half,Lena,0,1.0,anchored,stefan,cci,mlp,5.0,16.492,-7.474,1518,12.731974460126718,32.85212579415242,
half,Lena,1,0.0,anchored,stefan,cci,mlp,5.0,16.157,7.363,1518,13.746472251012738,26.812157640487214,
half,Lena,1,0.25,anchored,stefan,cci,mlp,5.0,14.822,3.482,1518,12.470603820640834,27.444766595390444,
half,Lena,1,0.5,anchored,stefan,cci,mlp,5.0,14.472,-0.4,1518,11.70207989649282,29.083995579367937,
half,Lena,1,0.75,anchored,stefan,cci,mlp,5.0,15.174,-4.281,1518,11.512102668010812,31.25053147532173,
half,Lena,1,1.0,anchored,stefan,cci,mlp,5.0,16.797,-8.163,1518,12.387121412171927,33.84325446751189,
half,Lena,2,0.0,anchored,stefan,cci,mlp,5.0,16.157,7.363,1518,13.823848949163905,23.95155084923662,
half,Lena,2,0.25,anchored,stefan,cci,mlp,5.0,14.889,3.637,1518,12.654946553783624,24.799228561594457,
half,Lena,2,0.5,anchored,stefan,cci,mlp,5.0,14.537,-0.089,1518,11.91519398897272,26.167545030802213,
half,Lena,2,0.75,anchored,stefan,cci,mlp,5.0,15.167,-3.815,1518,11.788084597806488,28.123116375953337,
half,Lena,2,1.0,anchored,stefan,cci,mlp,5.0,16.667,-7.541,1518,12.829281686628878,30.55338684905869,
half,Lena,0,0.0,anchored,stefan,stefan_cci,mlp,2.0,16.157,7.363,1518,13.660648018891463,26.100440164969392,
half,Lena,0,0.25,anchored,stefan,stefan_cci,mlp,2.0,15.335,5.414,1518,12.866749864356775,26.483564485333414,
half,Lena,0,0.5,anchored,stefan,stefan_cci,mlp,2.0,14.741,3.464,1518,12.24300191327937,26.825919971167338,
half,Lena,0,0.75,anchored,stefan,stefan_cci,mlp,2.0,14.405,1.515,1518,11.813279741472241,27.351450071516233,
half,Lena,0,1.0,anchored,stefan,stefan_cci,mlp,2.0,14.343,-0.434,1518,11.540693277608451,28.160931518307176,
half,Lena,1,0.0,anchored,stefan,stefan_cci,mlp,2.0,16.157,7.363,1518,13.746472251012738,26.812157640487214,
half,Lena,1,0.25,anchored,stefan,stefan_cci,mlp,2.0,15.348,5.405,1518,12.996192594576861,26.982054044182313,
