part,cv,model,seed,n,rmse_cm,mae_cm,bias_cm,r2,target_sd_cm,skill_over_mean,coverage_90,width_90,region,delta_rmse,ci_lo,ci_hi,metric,p1_stefan,p2_edaphic,p3_ttop,p4_kudryavtsev,p5_lambda,value,spearman,expert,var,var_label,unit,bin,bin_lo,bin_hi,w_p1_stefan,w_p2_edaphic,w_p3_ttop,w_p4_kudryavtsev,w_p5_lambda,dom_p1_stefan,dom_p2_edaphic,dom_p3_ttop,dom_p4_kudryavtsev,dom_p5_lambda
B_loro,LORO,mix_mlp,0.0,3037.0,24.254,18.738,10.773,-0.3221,21.094,-0.1498,,,Lena,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B_loro,LORO,mix_mlp,1.0,3037.0,23.826,17.95,9.787,-0.2758,21.094,-0.1295,,,Lena,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B_loro,LORO,mix_mlp,2.0,3037.0,22.78,17.204,8.545,-0.1662,21.094,-0.0799,,,Lena,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B_loro,LORO,mix_mlp_seedmean,-1.0,3037.0,23.003,17.776,9.702,-0.1892,21.094,-0.0905,,,Lena,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F_gatediag,LORO,,,3037.0,,,,,,,,,Lena,,,,oracle_best_share,0.8518274613105038,0.0286466908133026,0.0,0.09746460322686862,0.02206124464932499,,,,,,,,,,,,,,,,,,,
F_gatediag,LORO,,,3037.0,,,,,,,,,Lena,,,,gate_top1_acc,,,,,,0.8518274613105038,,,,,,,,,,,,,,,,,,
B_loro,LORO_gate,mix_logit,-1.0,3.0,29.21766666666667,,,,,,,,UNWEIGHTED_MEAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B_loro,LORO_gate,mix_mlp,-1.0,3.0,33.364333333333335,,,,,,,,UNWEIGHTED_MEAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B_loro,LORO_gate,mix_mlp_seedmean,-1.0,3.0,31.552666666666667,,,,,,,,UNWEIGHTED_MEAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B_loro,LORO_gate,oracle,-1.0,3.0,15.476333333333335,,,,,,,,UNWEIGHTED_MEAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B_loro,LORO_gate,stefan,-1.0,3.0,22.237333333333336,,,,,,,,UNWEIGHTED_MEAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B_loro,LORO_gate,uniform,-1.0,3.0,47.554,,,,,,,,UNWEIGHTED_MEAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C_boot,LORO,mix_logit,,,,,,,,,,,Canada,-2.1306794585924056,-4.397467311158687,0.2933605523681448,,,,,,,,,,,,,,,,,,,,,,,,,
C_boot,LORO,mix_mlp_seedmean,,,,,,,,,,,Canada,-8.49428216794255,-17.44812336918344,-1.4355823894005575,,,,,,,,,,,,,,,,,,,,,,,,,
C_boot,LORO,uniform,,,,,,,,,,,Canada,-38.7397570181663,-51.82077492803105,-29.26244928501207,,,,,,,,,,,,,,,,,,,,,,,,,
C_boot,LORO,mix_logit,,,,,,,,,,,Alaska,-19.136884322976695,-35.610230673157496,-1.5301450802251968,,,,,,,,,,,,,,,,,,,,,,,,,
C_boot,LORO,mix_mlp_seedmean,,,,,,,,,,,Alaska,-18.12863418796669,-35.80351990122976,-0.23869955014790742,,,,,,,,,,,,,,,,,,,,,,,,,
C_boot,LORO,uniform,,,,,,,,,,,Alaska,-11.936201905978265,-22.198426657193288,-3.076578280601446,,,,,,,,,,,,,,,,,,,,,,,,,
C_boot,LORO,mix_logit,,,,,,,,,,,Lena,-0.1916797782545071,-0.436469680297669,0.0641382641678953,,,,,,,,,,,,,,,,,,,,,,,,,
C_boot,LORO,mix_mlp_seedmean,,,,,,,,,,,Lena,-1.1722062363212975,-3.7195672865606406,2.6742842240822244,,,,,,,,,,,,,,,,,,,,,,,,,
C_boot,LORO,uniform,,,,,,,,,,,Lena,-24.54301621141143,-32.28204136825481,-10.750132955311855,,,,,,,,,,,,,,,,,,,,,,,,,
D_corr,LORO,,,17385.0,,,,,,,,,POOLED,,,,wmax_vs_abserr,,,,,,,-0.3291929604364372,,,,,,,,,,,,,,,,,
D_corr,LORO,,,17385.0,,,,,,,,,POOLED,,,,entropy_vs_abserr,,,,,,,0.3877402706865109,,,,,,,,,,,,,,,,,
D_corr,LORO,,,742.0,,,,,,,,,Canada,,,,wmax_vs_abserr,,,,,,,-0.017500512256656393,,,,,,,,,,,,,,,,,
D_corr,LORO,,,742.0,,,,,,,,,Canada,,,,entropy_vs_abserr,,,,,,,0.010087652812507172,,,,,,,,,,,,,,,,,
D_corr,LORO,,,13606.0,,,,,,,,,Alaska,,,,wmax_vs_abserr,,,,,,,-0.35680836433748586,,,,,,,,,,,,,,,,,
D_corr,LORO,,,13606.0,,,,,,,,,Alaska,,,,entropy_vs_abserr,,,,,,,0.44769811674804366,,,,,,,,,,,,,,,,,
D_corr,LORO,,,3037.0,,,,,,,,,Lena,,,,wmax_vs_abserr,,,,,,,0.04874900708727265,,,,,,,,,,,,,,,,,
D_corr,LORO,,,3037.0,,,,,,,,,Lena,,,,entropy_vs_abserr,,,,,,,-0.03939033342905695,,,,,,,,,,,,,,,,,
D_corr,LORO,,,17385.0,,,,,,,,,POOLED,,,,w_k_vs_abserr_k,,,,,,,0.045166692740118704,p1_stefan,,,,,,,,,,,,,,,,
D_corr,LORO,,,17385.0,,,,,,,,,POOLED,,,,w_k_vs_abserr_k,,,,,,,-0.009812767045693177,p2_edaphic,,,,,,,,,,,,,,,,
D_corr,LORO,,,14165.0,,,,,,,,,POOLED,,,,w_k_vs_abserr_k,,,,,,,,p3_ttop,,,,,,,,,,,,,,,,
D_corr,LORO,,,15430.0,,,,,,,,,POOLED,,,,w_k_vs_abserr_k,,,,,,,0.23578393247585877,p4_kudryavtsev,,,,,,,,,,,,,,,,
D_corr,LORO,,,17385.0,,,,,,,,,POOLED,,,,w_k_vs_abserr_k,,,,,,,-0.5390392828268864,p5_lambda,,,,,,,,,,,,,,,,
E_envbins,LORO,,,3285.0,,,,,,,,,,,,,,,,,,,,,,e5_maat,연평균기온 MAAT,°C,0.0,-11.739910125732422,-8.51736068725586,0.9307237667163144,0.0037521732888665203,0.0,0.01710623444826724,0.04841782554655147,0.9385083713850837,0.0,0.0,0.0,0.061491628614916284
