cond,target,anchor,pseudo,r,resid,lam,rmse,bias,n,n_fold,n_seed
noinfo,Canada,stefan,none,0.0,catboost_lo,0.75,26.194,0.9303333333333333,749,1,3
noinfo,Canada,stefan,none,0.0,catboost_lo,1.0,26.165666666666667,0.513,749,1,3
noinfo,Canada,stefan,none,0.0,mlp,0.0,26.634,2.182,749,1,3
noinfo,Canada,stefan,none,0.0,mlp,0.25,27.10166666666667,0.5926666666666667,749,1,3
noinfo,Canada,stefan,none,0.0,mlp,0.5,28.206666666666667,-0.9976666666666668,749,1,3
noinfo,Canada,stefan,none,0.0,mlp,0.75,29.88366666666667,-2.587666666666667,749,1,3
noinfo,Canada,stefan,none,0.0,mlp,1.0,32.043,-4.177666666666667,749,1,3
noinfo,Canada,stefan,none,0.0,ridge,0.0,26.634,2.182,749,1,3
noinfo,Canada,stefan,none,0.0,ridge,0.25,27.857,-4.347,749,1,3
noinfo,Canada,stefan,none,0.0,ridge,0.5,32.643,-10.876,749,1,3
noinfo,Canada,stefan,none,0.0,ridge,0.75,39.723,-17.405,749,1,3
noinfo,Canada,stefan,none,0.0,ridge,1.0,48.096,-23.934,749,1,3
noinfo,Canada,stefan_cci,none,0.0,catboost_lo,0.0,25.821,6.199000000000001,749,1,3
noinfo,Canada,stefan_cci,none,0.0,catboost_lo,0.25,25.305666666666667,4.4896666666666665,749,1,3
noinfo,Canada,stefan_cci,none,0.0,catboost_lo,0.5,25.078333333333333,2.780666666666667,749,1,3
noinfo,Canada,stefan_cci,none,0.0,catboost_lo,0.75,25.147000000000002,1.0713333333333332,749,1,3
noinfo,Canada,stefan_cci,none,0.0,catboost_lo,1.0,25.509,-0.638,749,1,3
noinfo,Canada,stefan_cci,none,0.0,mlp,0.0,25.821,6.199000000000001,749,1,3
noinfo,Canada,stefan_cci,none,0.0,mlp,0.25,25.614666666666665,4.788333333333333,749,1,3
noinfo,Canada,stefan_cci,none,0.0,mlp,0.5,26.324,3.377333333333333,749,1,3
