loc_id,region,label_class,n_pts,frac_gpr,frac_probe,frac_late,month_mean
312,ABoVE_AK,ABoVE 기타/결측,37.0,0.0,0.13513513513513514,0.4594594594594595,7.243243243243243
313,ABoVE_AK,ABoVE 기타/결측,62.0,0.0,0.08064516129032258,0.3387096774193548,6.935483870967742
314,ABoVE_AK,ABoVE 기타/결측,50.0,0.0,0.1,0.34,6.92
315,ABoVE_AK,ABoVE 탐침 우세,10.0,0.0,0.5,0.7,7.6
316,ABoVE_AK,ABoVE 탐침 우세,4.0,0.0,0.5,0.75,7.75
317,ABoVE_AK,ABoVE GPR 우세,21.0,0.7142857142857143,0.14285714285714285,0.9047619047619048,7.857142857142857
318,ABoVE_AK,ABoVE 기타/결측,28.0,0.0,0.32142857142857145,0.4642857142857143,7.071428571428571
319,ABoVE_AK,ABoVE 탐침 우세,6.0,0.0,0.5,0.6666666666666666,7.5
320,ABoVE_AK,ABoVE 기타/결측,17.0,0.0,0.17647058823529413,0.35294117647058826,6.882352941176471
321,ABoVE_AK,ABoVE 기타/결측,25.0,0.0,0.24,0.8,8.16
322,ABoVE_AK,ABoVE 기타/결측,25.0,0.0,0.24,0.52,7.32
323,ABoVE_AK,ABoVE 탐침 우세,10.0,0.0,0.5,0.7,7.6
324,ABoVE_AK,ABoVE 탐침 우세,6.0,0.0,0.5,0.6666666666666666,7.5
325,ABoVE_AK,ABoVE 탐침 우세,12.0,0.0,0.5,0.6666666666666666,7.5
326,ABoVE_AK,ABoVE 기타/결측,25.0,0.0,0.24,0.84,8.28
327,ABoVE_AK,ABoVE 기타/결측,35.0,0.0,0.14285714285714285,0.37142857142857144,6.9714285714285715
328,ABoVE_AK,ABoVE 기타/결측,62.0,0.0,0.0967741935483871,0.4838709677419355,7.354838709677419
329,ABoVE_AK,ABoVE 기타/결측,60.0,0.0,0.08333333333333333,0.16666666666666666,6.416666666666667
330,ABoVE_AK,ABoVE 탐침 우세,18.0,0.0,0.5,0.6666666666666666,7.5
331,ABoVE_AK,ABoVE 탐침 우세,4.0,0.0,0.5,1.0,8.5
332,ABoVE_AK,ABoVE 탐침 우세,6.0,0.0,0.5,0.8333333333333334,8.0
333,ABoVE_AK,ABoVE 기타/결측,48.0,0.0,0.14583333333333334,0.5,7.354166666666667
334,ABoVE_AK,ABoVE 기타/결측,25.0,0.0,0.2,0.88,8.44
335,ABoVE_AK,ABoVE 기타/결측,52.0,0.0,0.057692307692307696,0.40384615384615385,7.153846153846154
336,ABoVE_AK,ABoVE 기타/결측,11.0,0.0,0.45454545454545453,0.7272727272727273,7.7272727272727275
337,ABoVE_AK,ABoVE 기타/결측,13.0,0.0,0.46153846153846156,0.6923076923076923,7.615384615384615
338,ABoVE_AK,ABoVE 탐침 우세,2.0,0.0,0.5,1.0,8.5
339,ABoVE_AK,ABoVE 탐침 우세,8.0,0.0,0.5,0.75,7.75
340,ABoVE_AK,ABoVE 기타/결측,49.0,0.0,0.12244897959183673,0.7142857142857143,8.020408163265307
341,ABoVE_AK,ABoVE 탐침 우세,7.0,0.0,0.5714285714285714,0.8571428571428571,8.0
342,ABoVE_AK,ABoVE 기타/결측,7.0,0.0,0.42857142857142855,0.8571428571428571,8.142857142857142
343,ABoVE_AK,ABoVE 탐침 우세,11.0,0.0,0.5454545454545454,0.7272727272727273,7.636363636363637
344,ABoVE_AK,ABoVE 탐침 우세,30.0,0.0,0.5,1.0,8.0
345,ABoVE_AK,ABoVE 탐침 우세,20.0,0.0,0.5,0.5,6.5
346,ABoVE_AK,ABoVE 탐침 우세,28.0,0.0,0.5,1.0,8.0
347,ABoVE_AK,ABoVE 탐침 우세,2.0,0.0,0.5,1.0,8.0
348,ABoVE_AK,ABoVE 기타/결측,22.0,0.0,0.4090909090909091,0.5,6.5
349,ABoVE_AK,ABoVE 탐침 우세,30.0,0.0,0.5,1.0,8.0
350,ABoVE_AK,ABoVE 기타/결측,20.0,0.0,0.4,0.5,6.5
351,ABoVE_AK,ABoVE 기타/결측,19.0,0.0,0.42105263157894735,0.5263157894736842,6.578947368421052
352,ABoVE_AK,ABoVE 탐침 우세,4.0,0.0,0.5,0.5,6.5
353,ABoVE_AK,ABoVE 탐침 우세,30.0,0.0,0.5,1.0,8.0
354,ABoVE_AK,ABoVE 기타/결측,41.0,0.0,0.24390243902439024,0.7073170731707317,7.121951219512195
355,ABoVE_AK,ABoVE 기타/결측,48.0,0.0,0.3125,0.9791666666666666,7.9375
356,ABoVE_AK,ABoVE 기타/결측,29.0,0.0,0.3448275862068966,0.5517241379310345,6.655172413793103
357,ABoVE_AK,ABoVE 탐침 우세,30.0,0.0,0.5,1.0,8.0
