site_name,year,lat,lon,alt_cm,n_pts
E118,2022,68.3213447100001,-133.51410967,55.25,1
E119,2022,68.32138631,-133.51425706,59.5,1
E12,2022,68.74367715,-133.50143002,54.0,1
E120,2022,68.3212552800001,-133.51455185,48.5,1
E121,2022,68.32117993,-133.51484289,43.5,1
E122,2022,68.3211373,-133.51514556,59.0,1
E123,2022,68.321061,-133.51539653,52.5,1
E124,2022,68.3210357400001,-133.51571631,56.5,1
E125,2022,68.32097322,-133.51602471,78.25,1
E126,2022,68.3209210200001,-133.51637722,40.75,1
E127,2022,68.3208726400001,-133.51650456,47.75,1
E128,2022,68.3207434700001,-133.5166981,37.75,1
E129,2022,68.3207052000001,-133.51679567,54.75,1
E130,2022,68.32046918,-133.51908366,84.5,1
E131,2022,68.3206030000001,-133.51934429,46.75,1
E132,2022,68.3203959300001,-133.5193192,65.25,1
E133,2022,68.32052745,-133.51954598,61.75,1
E134,2022,68.32036337,-133.51969762,65.0,1
E135,2022,68.3204199200001,-133.51982017,57.25,1
E136,2022,68.32026032,-133.51997718,37.75,1
E137,2022,68.32033433,-133.52014815,51.0,1
E138,2022,68.32029971,-133.52023491,44.0,1
E139,2022,68.3202793500001,-133.52051893,51.5,1
E140,2022,68.32007515,-133.52073357,36.75,1
E141,2022,68.32017992,-133.52091919,40.0,1
E142,2022,68.32000456,-133.52123084,45.5,1
E143,2022,68.3200648800001,-133.5214519,27.75,1
E144,2022,68.3198928,-133.52167476,50.25,1
E145,2022,68.3200310500001,-133.5217934,41.25,1
E146,2022,68.3198438700001,-133.52203978,32.5,1
E147,2022,68.3199384000001,-133.52229213,43.25,1
E148,2022,68.3197953000001,-133.52249793,38.0,1
E149,2022,68.31999284,-133.52267074,47.5,1
E15,2022,68.7445183500001,-133.50222462,47.5,1
E150,2022,68.3196329900001,-133.5229152,50.0,1
E151,2022,68.31981384,-133.5229601,39.25,1
E16,2022,68.7446807300001,-133.50255219,48.5,1
E17,2022,68.74477883,-133.50206721,48.75,1
E18,2022,68.74463518,-133.50177558,43.75,1
E19,2022,68.7458326700001,-133.50445614,58.75,1
E2,2022,68.73927619,-133.5136368,38.25,1
E20,2022,68.7459607600001,-133.50498457,48.5,1
E21,2022,68.7461177000001,-133.5047312,46.5,1
E22,2022,68.7459651500001,-133.50426525,59.5,1
E23,2022,68.75023803,-133.53835243,64.0,1
E24,2022,68.7500353500001,-133.53822537,44.75,1
E25,2022,68.7500223600001,-133.53893222,30.75,1
E26,2022,68.75021108,-133.53877345,40.0,1
E27,2022,68.74865722,-133.53031267,41.25,1
E28,2022,68.7485165,-133.53049477,35.5,1
E29,2022,68.7486604800001,-133.530945,40.25,1
E3,2022,68.741666604,-133.496421691,34.0,1
E30,2022,68.7487589300001,-133.53081353,38.0,1
E31,2022,68.7495218500001,-133.52372585,61.75,1
E32,2022,68.74974246,-133.52378605,46.25,1
E33,2022,68.7497321100001,-133.52325285,46.75,1
E34,2022,68.74946716,-133.52325411,40.5,1
E35,2022,68.7482999100001,-133.51817078,39.25,1
E36,2022,68.7484649400001,-133.51831585,54.0,1
E37,2022,68.7485514200001,-133.51791119,40.0,1
E38,2022,68.74838666,-133.51769949,42.0,1
E4,2022,68.7415073450001,-133.49603037,63.0,1
E5,2022,68.741384488,-133.496444442,46.75,1
E53,2022,68.3199293800001,-133.51801233,41.5,1
E54,2022,68.3198256100001,-133.51766603,51.0,1
E55,2022,68.3196860400001,-133.51819694,54.75,1
