proto,family,anchor,pseudo,resid,r,lam,rmse_mean,n_reg,name
half,anchored,stefan,none,catboost,0.0,0.0,23.723,2,Stefan 앵커 + 부스팅 잔차(λ=0)
half,anchored,stefan,none,catboost,0.0,0.25,23.878166666666665,2,Stefan 앵커 + 부스팅 잔차(λ=0.25)
half,anchored,stefan,none,catboost,0.0,0.5,24.189833333333333,2,Stefan 앵커 + 부스팅 잔차(λ=0.5)
half,anchored,stefan,none,catboost,0.0,0.75,24.645166666666668,2,Stefan 앵커 + 부스팅 잔차(λ=0.75)
half,anchored,stefan,none,catboost,0.0,1.0,25.232833333333332,2,Stefan 앵커 + 부스팅 잔차(λ=1)
half,anchored,stefan,none,ridge,0.0,0.0,23.723,2,Stefan 앵커 + 선형 잔차(λ=0)
half,anchored,stefan,none,ridge,0.0,0.25,24.886499999999998,2,Stefan 앵커 + 선형 잔차(λ=0.25)
half,anchored,stefan,none,ridge,0.0,0.5,26.7305,2,Stefan 앵커 + 선형 잔차(λ=0.5)
half,anchored,stefan,none,ridge,0.0,0.75,29.134,2,Stefan 앵커 + 선형 잔차(λ=0.75)
half,anchored,stefan,none,ridge,0.0,1.0,31.978500000000004,2,Stefan 앵커 + 선형 잔차(λ=1)
half,anchored,stefan,stefan,catboost,0.5,0.0,23.723,2,Stefan 앵커 + 부스팅 잔차(λ=0) · Stefan 증강(r=0.5)
half,anchored,stefan,stefan,catboost,0.5,0.25,23.796166666666664,2,Stefan 앵커 + 부스팅 잔차(λ=0.25) · Stefan 증강(r=0.5)
half,anchored,stefan,stefan,catboost,0.5,0.5,23.873166666666666,2,Stefan 앵커 + 부스팅 잔차(λ=0.5) · Stefan 증강(r=0.5)
half,anchored,stefan,stefan,catboost,0.5,0.75,23.95433333333333,2,Stefan 앵커 + 부스팅 잔차(λ=0.75) · Stefan 증강(r=0.5)
half,anchored,stefan,stefan,catboost,0.5,1.0,24.039,2,Stefan 앵커 + 부스팅 잔차(λ=1) · Stefan 증강(r=0.5)
half,anchored,stefan,stefan,catboost,1.0,0.0,23.723,2,Stefan 앵커 + 부스팅 잔차(λ=0) · Stefan 증강(r=1)
half,anchored,stefan,stefan,catboost,1.0,0.25,23.768166666666666,2,Stefan 앵커 + 부스팅 잔차(λ=0.25) · Stefan 증강(r=1)
half,anchored,stefan,stefan,catboost,1.0,0.5,23.81816666666667,2,Stefan 앵커 + 부스팅 잔차(λ=0.5) · Stefan 증강(r=1)
half,anchored,stefan,stefan,catboost,1.0,0.75,23.873333333333335,2,Stefan 앵커 + 부스팅 잔차(λ=0.75) · Stefan 증강(r=1)
half,anchored,stefan,stefan,catboost,1.0,1.0,23.933333333333334,2,Stefan 앵커 + 부스팅 잔차(λ=1) · Stefan 증강(r=1)
half,anchored,stefan,stefan,catboost,2.0,0.0,23.723,2,Stefan 앵커 + 부스팅 잔차(λ=0) · Stefan 증강(r=2)
