site,lat,lon,region,block,nn_km,block_share
Svalbard #1839,78.09075,14.20244,Svalbard,15600028,1.0042655381887524,2
Murtèl-Corvatsch#1844,46.42879,9.821839,Switzerland,9200019,0.00022992516922797234,9
Chara#1858,56.66208,118.37574,Russia,11300236,1.0624608558886357,12
Svalbard #1859,78.2215,15.658,Svalbard,15600031,3.487660021247658,4
Kitzsteinhorn#1866,47.18953958,12.68540995,Austria,9400025,0.01880126663155672,4
Kitzsteinhorn#1867,47.18937371,12.68536167,Austria,9400025,0.006103742907371221,4
Yusno-Tambeysky,71.3,71.5833,Russia(W.Siberia),14200143,153.62525675154677,1
Messoyakhsky,69.5,82.4333,Russia(W.Siberia),13900164,35.59511082817725,1
Yusno-Soleninsky,69.2,82.75,Russia(W.Siberia),13800165,35.59511082817725,1
Yamburgsky,68.0,76.2,Russia(W.Siberia),13600152,35.83885652812732,1
Peszovy,67.1,75.4,Russia(W.Siberia),13400150,68.5226384362621,1
Russky,66.5833,80.5,Russia(W.Siberia),13300161,77.85074929581776,1
Medvegy,66.0,74.0,Russia(W.Siberia),13200148,24.183018096215832,2
Nadymsky,65.6,73.0,Russia(W.Siberia),13100146,10.119541342911933,1
Vostochno-,65.0333,78.0833,Russia(W.Siberia),13000156,48.19815112559088,2
Verkhne-Purpeysky,64.3833,75.2,Russia(W.Siberia),12800150,82.6405875346798,1
Sutorminsky,63.6667,74.75,Russia(W.Siberia),12700149,82.6405875346798,1
Vyngapursky,63.0833,76.4667,Russia(W.Siberia),12600152,107.35549397069393,1
Varyegansky,62.0,77.75,Russia(W.Siberia),12400155,103.8500846251696,1
Agansky.,61.5,76.0833,Russia(W.Siberia),12300152,55.66173411445459,1
Vatinsky,61.0,76.1333,Russia(W.Siberia),12200152,10.781669844728851,2
Kharasavaysky,71.0833,67.1167,Russia(W.Siberia),14200134,101.8675362500997,1
Bovanenkovsky,70.25,68.2667,Russia(W.Siberia),14000136,24.503764885862758,1
Nerstinsky,70.2333,68.9167,Russia(W.Siberia),14000137,24.503764885862758,1
Neytinsky,70.0,70.0,Russia(W.Siberia),14000140,36.3736759225205,1
Arctichesky,69.7667,70.6667,Russia(W.Siberia),13900141,36.3736759225205,1
Sredne-Yamalsky,69.0667,70.95,Russia(W.Siberia),13800141,32.683002043060284,1
Nurminsky,69.0,71.75,Russia(W.Siberia),13800143,32.683002043060284,1
Malo-Yamalsky,68.3167,71.4167,Russia(W.Siberia),13600142,56.994625256095055,1
Novo-Portovskoy,68.0,72.5,Russia(W.Siberia),13600145,56.994625256095055,1
Yurkharsky,67.8833,77.0,Russia(W.Siberia),13500154,35.83885652812732,1
Severo-Urengoysky,67.4833,76.65,Russia(W.Siberia),13400153,46.86863999673018,1
Eniyakhinsky,66.9833,77.1667,Russia(W.Siberia),13300154,59.87784015203985,1
Urengoisky,66.1667,78.9167,Russia(W.Siberia),13200157,73.58779868744607,1
Pyreiny,65.5667,77.5333,Russia(W.Siberia),13100155,28.383452977508306,1
Yusno-Pyreiny,65.4667,78.1,Russia(W.Siberia),13000156,28.383452977508306,2
Yarudeisky,66.2833,70.75,Russia(W.Siberia),13200141,117.56412781601162,1
Sapadno-Medvegy,66.0167,73.4667,Russia(W.Siberia),13200146,24.183018096215832,1
Vostochno-Medvegy,66.2333,74.4667,Russia(W.Siberia),13200148,33.38295620917493,2
Yubileinyi,66.0,76.0,Russia(W.Siberia),13200152,15.074158423640522,2
Evoyakhinsky,66.0333,77.3167,Russia(W.Siberia),13200154,38.910389348452405,1
Geologichesky,66.0,76.3333,Russia(W.Siberia),13200152,15.074158423640522,2
Russko-Tshasselsky,65.8833,80.4667,Russia(W.Siberia),13100160,76.79379739736429,1
Thermokarstovyi,65.4333,82.25,Russia(W.Siberia),13000164,95.82774754491297,1
Kostrovsloy,66.1333,85.4667,Russia(W.Siberia),13200170,166.05826753030186,1
Megionsky,61.0,76.3333,Russia(W.Siberia),12200152,10.781669844728851,2
LAP_1108,46.1062,7.2847,Switzerland,9200014,0.0327811647024638,6
COR_0287,46.4288,9.8218,Switzerland,9200019,0.0029747392804800018,9
MUR_0299,46.5073,9.9272,Switzerland,9300019,0.04049590317959597,4
MUR_0499,46.5073,9.8218,Switzerland,9300019,7.970190150548806,4
TSA_0104,46.109,7.5484,Switzerland,9200015,17.193546676149904,2
SCH_5000,46.5583,7.8344,Switzerland,9300015,0.0,8
FLU_0102,46.7489,9.9436,Switzerland,9300019,26.859486541604216,4
STO_6000,45.9868,7.8242,Switzerland,9100015,0.027080311539026555,3
COR_0200,46.4285,9.822,Switzerland,9200019,0.004079552593188133,9
GEM_0106,46.6012,8.6104,Switzerland,9300017,49.08843198013616,1
ATT_0108,46.0968,7.2731,Switzerland,9200014,0.04758189290552394,6
STO_6100,45.9866,7.824,Switzerland,9100015,0.027080311539026555,3
LAP_1208,46.1056,7.2838,Switzerland,9200014,0.06765331969992432,6
MAT_0205,45.9823,7.6761,Switzerland,9100015,11.437370982947847,3
SBE_0190,46.4974,9.9263,Switzerland,9200019,0.17698435140542793,9
ATT_0208,46.0967,7.2737,Switzerland,9200014,0.04758189290552394,6
SCH_5198,46.5583,7.8346,Switzerland,9300015,0.002653605606057731,8
SBE_0290,46.4988,9.9252,Switzerland,9200019,0.17698435140542793,9
RIT_0102,46.1747,7.8498,Switzerland,9200015,20.98661888668168,2
MUR_0199,46.5076,9.9275,Switzerland,9300019,0.04049590317959597,4
MBP_0196,46.4964,9.9311,Switzerland,9200019,0.031967404733755325,9
MBP_0296,46.4966,9.9314,Switzerland,9200019,0.031967404733755325,9
SCH_5200,46.5583,7.8344,Switzerland,9300015,0.0,8
LAP_0198,46.1061,7.2843,Switzerland,9200014,0.0327811647024638,6
GEN_0102,46.0837,7.3025,Switzerland,9200014,2.649944622959407,6
JFR_0195,46.5462,7.9732,Switzerland,9300015,10.681659983163556,8
SCH_5318,46.5583,7.8343,Switzerland,9300015,0.007645942530122017,8
