axis,region,formula,family,k,desc,n,rmse_cm,mae_cm,bias_cm,r2,skill,rmse_stefan_paired,delta_vs_stefan,ci_lo,ci_hi
LORO,Lena,F4k2,F4 MAAT 선형,2,a+b·MAAT,3037,21.971,12.862,-6.234,-0.0849,-0.0416,21.697,0.2740000000000009,-2.9541973391972025,4.083416533950169
LORO,Lena,F5k0,F5 edaphic,0,pedotransfer raw,3037,61.434,58.427,56.839,-7.4823,-1.9124,21.697,39.736999999999995,19.722343950653105,47.64456403263389
LORO,Lena,F5k1,F5 edaphic,1,c·edaphic,3037,25.557,21.156,13.112,-0.4679,-0.2116,21.697,3.8599999999999994,-0.17600832628681728,6.552551216416584
LORO,Lena,F5k2,F5 edaphic,2,a+c·edaphic,3037,25.23,20.772,13.279,-0.4306,-0.1961,21.697,3.5330000000000013,0.2120760469048656,5.973996632780334
LORO,Lena,F6k0,F6 Kudryavtsev,0,raw,3037,33.399,29.94,24.954,-1.507,-0.5834,21.697,11.702000000000002,-0.28686269153082966,17.572328099732523
LORO,Lena,F6k1,F6 Kudryavtsev,1,c·Ku,3037,22.241,16.235,4.776,-0.1117,-0.0544,21.697,0.5440000000000005,-0.34143371206083,1.9884276315660196
LORO,Lena,F6k2,F6 Kudryavtsev,2,a+c·Ku,3037,22.816,17.417,8.187,-0.17,-0.0817,21.697,1.1189999999999998,-0.42535152903784945,2.5430592520695527
LORO,Lena,F7k1,F7 지표강제 Stefan,1,E·√TDD_stl1,3037,21.332,14.942,4.515,-0.0227,-0.0113,21.697,-0.36499999999999844,-0.7452227700133981,0.014860620100571754
LORO,Lena,F7k2,F7 지표강제 Stefan,2,a+E·√TDD_stl1,3037,21.211,14.691,3.984,-0.0111,-0.0056,21.697,-0.48600000000000065,-1.2275324788418125,0.015945350767295398
LORO,Lena,F8k2,F8 2층 Stefan,2,유기층(h·f_om) + E_m√(TDD−TDD_o),3037,21.369,14.892,4.207,-0.0262,-0.013,21.697,-0.3279999999999994,-0.7150256848086187,0.3064382383788354
LORO,Lena,F9k2,F9 Stefan+FDD,2,E·√TDD+γ·√FDD,3037,22.559,17.062,8.228,-0.1437,-0.0694,21.697,0.8620000000000019,-0.33546979823931955,1.6104757863333896
LORO,Lena,F10k2,F10 Stefan×눈,2,E·√TDD·(1+γ·SWE),3037,21.668,15.514,5.297,-0.0551,-0.0272,21.697,-0.028999999999999915,-0.07232202633299857,0.0540987909663302
LORO,Russia_E,F1k1,F1 Stefan,1,E·√TDD,30,27.383,15.569,-8.758,0.0541,0.0274,27.383,0.0,0.0,0.0
