axis,region,method,seed,E_train,n,rmse_cm,mae_cm,bias_cm,r2,target_sd_cm,skill_over_mean,coverage_90,width_90,delta_rmse,ci_lo,ci_hi,source,b_learned_cm,sig_learned_te_cm,b_emp_train_cm,sig_emp_train_cm,b_emp_test_cm,sig_emp_test_cm,axis_kind
AK_fold,fold1,direct_catboost,2,1.6249,1778.0,12.753,9.525,-3.947,-0.0192,12.633,-0.0096,0.7795,26.275,,,,,,,,,,,
AK_fold,fold1,direct_mlp,2,1.6249,1778.0,12.549,9.368,2.216,0.0131,12.633,0.0066,,,,,,,,,,,,,
AK_fold,fold1,physfeat_catboost,2,1.6249,1778.0,12.696,9.623,-2.68,-0.0101,12.633,-0.005,0.7559,24.381,,,,,,,,,,,
AK_fold,fold1,pool_catboost,2,1.6249,1778.0,12.42,9.044,-0.68,0.0334,12.633,0.0169,0.2013,5.363,,,,,,,,,,,
AK_fold,fold1,pool_mlp,2,1.6249,1778.0,12.498,9.07,-0.918,0.0212,12.633,0.0107,,,,,,,,,,,,,
AK_fold,fold1,fixaug_catboost,2,1.6249,1778.0,12.386,9.119,1.518,0.0387,12.633,0.0195,0.0692,1.793,,,,,,,,,,,
AK_fold,fold1,sa_z,2,1.6249,1778.0,12.947,9.583,-4.382,-0.0504,12.633,-0.0249,0.9888,86.487,,,,,,,,,,,
AK_fold,fold1,sa_fusion,2,1.6249,1778.0,12.632,9.253,-2.427,0.0001,12.633,0.0,0.351,11.031,,,,,,,,,,,
AK_fold,fold2,stefan_anchor,0,1.627,1778.0,17.095,13.678,2.53,-0.0134,16.982,-0.0067,,,,,,,,,,,,,
AK_fold,fold2,direct_catboost,0,1.627,1778.0,16.354,12.968,2.535,0.0725,16.982,0.0369,0.5135,24.545,,,,,,,,,,,
AK_fold,fold2,direct_mlp,0,1.627,1778.0,18.713,15.512,5.55,-0.2144,16.982,-0.102,,,,,,,,,,,,,
AK_fold,fold2,physfeat_catboost,0,1.627,1778.0,16.653,13.133,2.851,0.0383,16.982,0.0194,0.5304,25.021,,,,,,,,,,,
AK_fold,fold2,pool_catboost,0,1.627,1778.0,17.593,14.192,3.207,-0.0733,16.982,-0.036,0.0984,5.215,,,,,,,,,,,
