target,regime,anchor,n_labels,n_A,n_eval,n_blocks_eval,reps,rmse_mean,rmse_p10,rmse_p90,E_mean,E_alaska
Russia_E,main,stefan,10,15,12,9,30,17.315990667738514,15.792236498058402,20.33849961041272,1.9756114563126543,1.6166886671406264
Russia_E,main,stefan_soil,10,15,12,9,30,18.055271642481888,16.41741252144095,21.244505695163348,1.9756114563126543,1.6166886671406264
Russia_E,main,stefan_cci,10,15,12,9,30,17.388752385220705,16.627342512267656,18.582136294040193,1.9756114563126543,1.6166886671406264
Svalbard,main,stefan,0,4,3,3,1,295.91811750869783,295.91811750869783,295.91811750869783,1.6166886671406264,1.6166886671406264
Svalbard,main,stefan_soil,0,4,3,3,1,295.4914884370516,295.4914884370516,295.4914884370516,1.6166886671406264,1.6166886671406264
Svalbard,main,stefan_cci,0,4,3,3,1,291.363711125109,291.363711125109,291.363711125109,1.6166886671406264,1.6166886671406264
Svalbard,main,stefan,3,4,3,3,30,210.79156559407082,184.08748859116145,244.71787676535143,5.9088354805775305,1.6166886671406264
Svalbard,main,stefan_soil,3,4,3,3,30,214.87356512184493,198.12736236977932,257.67375556624523,5.9088354805775305,1.6166886671406264
Svalbard,main,stefan_cci,3,4,3,3,30,247.93151729827758,233.8070960746783,265.5886165733897,5.9088354805775305,1.6166886671406264
Mongolia_CAsia,deep,stefan,0,23,21,10,1,249.5030518008768,249.5030518008768,249.5030518008768,1.6166886671406264,1.6166886671406264
Mongolia_CAsia,deep,stefan_soil,0,23,21,10,1,250.58716846637924,250.58716846637924,250.58716846637924,1.6166886671406264,1.6166886671406264
Mongolia_CAsia,deep,stefan_cci,0,23,21,10,1,225.98874024605118,225.98874024605118,225.98874024605118,1.6166886671406264,1.6166886671406264
Mongolia_CAsia,deep,stefan,3,23,21,10,30,141.96866021059952,122.18254322720557,165.1012729467235,6.885091866819484,1.6166886671406264
Mongolia_CAsia,deep,stefan_soil,3,23,21,10,30,140.10869564380903,120.01192206845147,159.57537984294888,6.885091866819484,1.6166886671406264
Mongolia_CAsia,deep,stefan_cci,3,23,21,10,30,153.34610174607568,127.07097160915293,178.13015621662575,6.885091866819484,1.6166886671406264
Mongolia_CAsia,deep,stefan,5,23,21,10,30,130.6757640470193,121.61379421344405,144.61460662618106,6.974752384382561,1.6166886671406264
Mongolia_CAsia,deep,stefan_soil,5,23,21,10,30,129.005693040499,120.03828640528445,143.64873527748372,6.974752384382561,1.6166886671406264
Mongolia_CAsia,deep,stefan_cci,5,23,21,10,30,150.50613957675372,133.94577451986967,171.04744897840106,6.974752384382561,1.6166886671406264
Mongolia_CAsia,deep,stefan,10,23,21,10,30,126.26624011541892,121.50935580093754,134.04981302786106,7.236416188563123,1.6166886671406264
Mongolia_CAsia,deep,stefan_soil,10,23,21,10,30,124.42888310544267,119.71657278588972,132.23554060258903,7.236416188563123,1.6166886671406264
Mongolia_CAsia,deep,stefan_cci,10,23,21,10,30,147.077458432858,135.17379574556725,158.2892669171387,7.236416188563123,1.6166886671406264
Mongolia_CAsia,deep,stefan,20,23,21,10,30,121.6836767805552,121.17374855932756,122.13002447638652,7.409692508537977,1.6166886671406264
Mongolia_CAsia,deep,stefan_soil,20,23,21,10,30,119.97842664133707,119.45681777024754,120.56833006668468,7.409692508537977,1.6166886671406264
Mongolia_CAsia,deep,stefan_cci,20,23,21,10,30,144.513210366915,141.39685876103647,148.25324109300112,7.409692508537977,1.6166886671406264
Alps,deep,stefan,0,5,4,2,1,338.1827563916494,338.1827563916494,338.1827563916494,1.6166886671406264,1.6166886671406264
Alps,deep,stefan_soil,0,5,4,2,1,348.53073244671276,348.53073244671276,348.53073244671276,1.6166886671406264,1.6166886671406264
Alps,deep,stefan_cci,0,5,4,2,1,335.70111395547434,335.70111395547434,335.70111395547434,1.6166886671406264,1.6166886671406264
Alps,deep,stefan,3,5,4,2,30,129.94763140046456,117.82672595161563,146.8494401892637,9.935326086023844,1.6166886671406264
Alps,deep,stefan_soil,3,5,4,2,30,198.77452983807964,194.51299917956408,204.96743649860124,9.935326086023844,1.6166886671406264
Alps,deep,stefan_cci,3,5,4,2,30,224.80824699394634,216.63166595084783,235.76440362136054,9.935326086023844,1.6166886671406264
Alps,deep,stefan,5,5,4,2,30,127.9394279738595,127.93942797385951,127.93942797385951,10.009555275610312,1.6166886671406264
Alps,deep,stefan_soil,5,5,4,2,30,197.51455468537733,197.51455468537733,197.51455468537736,10.009555275610312,1.6166886671406264
Alps,deep,stefan_cci,5,5,4,2,30,223.8245147119388,223.82451471193883,223.82451471193883,10.009555275610312,1.6166886671406264
Tibet,deep,stefan,0,4,3,3,1,179.74794510246775,179.74794510246775,179.74794510246775,1.6166886671406264,1.6166886671406264
Tibet,deep,stefan_soil,0,4,3,3,1,172.73667741381954,172.73667741381954,172.73667741381954,1.6166886671406264,1.6166886671406264
Tibet,deep,stefan_cci,0,4,3,3,1,164.96301490818283,164.96301490818283,164.96301490818283,1.6166886671406264,1.6166886671406264
Tibet,deep,stefan,3,4,3,3,30,106.09743080623043,60.68290794492762,135.13428201785155,6.126246017847017,1.6166886671406264
Tibet,deep,stefan_soil,3,4,3,3,30,87.21929939918982,58.3276343274542,110.87882389763999,6.126246017847017,1.6166886671406264
Tibet,deep,stefan_cci,3,4,3,3,30,124.71091689061728,94.53340927340007,142.6008889156808,6.126246017847017,1.6166886671406264
