lat,lon,alt_cm,alt_sd,alt_min,alt_max,n_obs,year_min,year_max,n_years,site,name,country,macro,region,qc,qc_flag,borehole_id,censor_flag,dem_elev,dem_slope,dem_aspect_sin,dem_aspect_cos,dem_tpi,dem_rough,e5_maat,e5_tdd,e5_fdd,e5_sqrt_tdd,e5_twarm,e5_tcold,e5_stl1,e5_swe,e5_fallback_deg,cci_alt,cci_valid,sg_clay_5_15,sg_sand_5_15,sg_silt_5_15,sg_bdod_5_15,sg_cfvo_5_15,sg_phh2o_5_15,sg_soc_0_5,sg_soc_5_15,sg_soc_15_30,block,loc_id,source_id,fidelity_level,spatial_support_m,sigma_prior_cm,right_censored,insar_alt,insar_alt_std,insar_sub,insar_dist,insar_n,polsar_alt,polsar_std,polsar_valid,insar_miss
51.1147,99.6369,338.3333333333333,7.637626158259735,330.0,345.0,3,2005,2008,3,M13 B,Darhad Rinchin,Mongolia,Mongolia_CAsia,CALM_Mongolia_CAsia,,,,0,1568.691162109375,0.43058234453201294,0.9885921478271484,-0.1506171077489853,-0.614990234375,1.260050892829895,-3.0354042053222656,1649.5317077636719,2730.7857666015625,40.61442733516837,15.310699462890625,-22.722335815429688,-0.5771026611328125,0.009074238128960133,0.0,161.2,1,24.2,48.9,26.9,1.19,15.6,7.4,87.9,57.4,30.4,10200199,17482,F4_direct,4,100.0,7.637626158259735,0,,,,,,,,0.0,1
51.1872,99.4975,154.0,5.887840577551898,148.0,160.0,4,2004,2007,4,M13 A,Darhad Khuurch,Mongolia,Mongolia_CAsia,CALM_Mongolia_CAsia,,,,0,1549.2196044921875,0.28690004348754883,-0.664198100566864,-0.7475566267967224,3.3663330078125,4.598517417907715,-3.822784423828125,1564.5525817871094,2932.478012084961,39.5544255651262,14.881988525390625,-23.989593505859375,-0.2414093017578125,0.010756108909845352,0.0,143.4,1,26.6,43.6,29.8,1.21,15.1,7.4,113.4,84.2,63.3,10200198,17483,F4_direct,4,100.0,5.887840577551898,0,,,,,,,,0.0,1
51.2097,100.7703,372.8,10.568822072492283,355.0,381.0,5,2005,2009,5,M12 E,Noyon,Mongolia,Mongolia_CAsia,CALM_Mongolia_CAsia,,,,0,1668.406494140625,3.8559391498565674,-0.998794674873352,-0.04908333718776703,-13.946533203125,34.77920913696289,-3.414257049560547,1304.5419006347656,2523.0612182617188,36.11844266624415,12.17626953125,-21.578140258789062,0.9979832768440247,0.010256515815854073,0.0,54.0,1,24.2,45.2,30.7,1.19,17.4,7.0,92.3,57.2,33.6,10200201,17484,F4_direct,4,100.0,10.568822072492283,0,,,,,,,,0.0,1
51.2858,100.8272,475.0,6.164414002968976,470.0,488.0,7,2003,2009,7,M12 D,Turag,Mongolia,Mongolia_CAsia,CALM_Mongolia_CAsia,,,,0,1672.382080078125,4.499025821685791,-0.7359781861305237,0.6770052313804626,-14.7054443359375,23.640287399291992,-3.6413891315460205,1260.2795104980469,2561.9908599853516,35.50041563838439,11.86865234375,-21.780609130859375,1.437604308128357,0.00787707231938839,0.0,138.0,1,24.2,49.5,26.3,1.18,17.3,6.6,121.5,71.5,51.5,10200201,17485,F4_direct,4,100.0,6.164414002968976,0,,,,,,,,0.0,1
51.3556,99.3592,147.0,2.6457513110645907,145.0,150.0,3,2005,2008,3,M13,Darhad Tsagaan nuur,Mongolia,Mongolia_CAsia,CALM_Mongolia_CAsia,,,,0,1537.702392578125,5.7496843338012695,0.557299017906189,-0.8303118944168091,-2.08544921875,4.933046817779541,-4.193959712982178,1481.9910888671875,2985.26611328125,38.49663737090796,14.27978515625,-23.712249755859375,0.5361785888671875,0.015429363586008549,0.0,105.6,1,24.1,47.2,28.7,1.18,18.0,7.0,91.4,51.3,33.9,10200198,17486,F4_direct,4,100.0,3.0,0,,,,,,,,0.0,1
51.3586,99.4797,177.5,3.5355339059327378,175.0,180.0,2,2005,2006,2,M13 C,Darhad Sharga,Mongolia,Mongolia_CAsia,CALM_Mongolia_CAsia,,,,0,1554.0150146484375,1.4026756286621094,-0.2755243480205536,0.9612941145896912,8.739990234375,4.885687828063965,-3.905656099319458,1593.2798461914062,2990.611373901367,39.91590968763466,15.025543212890625,-24.368499755859375,-0.333831787109375,0.011627540923655033,0.0,122.0,1,25.2,43.7,31.1,1.25,14.9,7.5,91.7,61.8,54.0,10200198,17487,F4_direct,4,100.0,3.5355339059327378,0,,,,,,,,0.0,1
55.7652,160.3206,56.111111111111114,3.9510898637098975,49.0,63.0,9,2004,2012,9,R30 B,Ploskii Tolbachik (Kamchatka) 1,Russia,Russia_E,CALM_Russia_E,,,,0,1616.52490234375,10.525212287902832,0.99385005235672,0.11073430627584457,-16.450927734375,27.47121810913086,-4.974828243255615,932.0508422851562,2721.2044677734375,30.529507730802937,11.62255859375,-17.777999877929688,1.7391153573989868,0.21651650965213776,0.0,50.6,1,14.7,51.4,34.0,0.99,20.0,5.3,99.4,78.8,48.0,11100320,17488,F4_direct,4,100.0,3.9510898637098975,0,,,,,,,,0.0,1
55.8909,160.5375,48.76470588235294,2.411675034200966,44.0,53.0,17,2006,2023,17,R30 C,Ploskii Tolbachik (Kamchatka) 2,Russia,Russia_E,CALM_Russia_E,,,,0,1614.5506591796875,1.9974534511566162,0.6939133405685425,0.7200585007667542,13.568359375,32.050621032714844,-5.913167476654053,779.266357421875,2911.4141540527344,27.915342688598237,10.28271484375,-17.976516723632812,0.7439982295036316,0.3285881578922272,0.0,53.6,1,15.0,55.2,29.9,0.98,18.3,5.3,80.3,64.4,42.6,11100321,17489,F4_direct,4,100.0,3.0,0,,,,,,,,0.0,1
56.6333,-76.1,134.0,17.492855684535893,107.0,157.0,7,1990,1997,7,C17,Sheldrake River,Canada,Canada,CALM_Canada,,,,0,182.37460327148438,0.24750371277332306,-0.999872088432312,0.015992512926459312,-24.208969116210938,22.651512145996094,-5.089441776275635,1088.1329956054688,2905.885208129883,32.986860954105175,11.343902587890625,-24.017715454101562,2.696202516555786,0.10015174746513367,0.0,76.0,1,19.3,48.3,32.5,0.99,18.2,5.1,58.3,49.2,19.8,11299847,17490,F4_direct,4,100.0,17.492855684535893,0,,,,,,,,0.0,1
56.7604,118.189,53.0,8.48528137423857,41.0,61.0,6,2013,2022,6,R46,Chara Belenky,Russia,Russia_C,CALM_Russia_C,,,,0,733.3443603515625,0.9970616698265076,-0.9906700253486633,-0.136282280087471,0.41973876953125,5.946471691131592,-5.199655055999756,1602.5265808105469,3468.414093017578,40.03156980197687,15.83642578125,-25.573837280273438,1.3104299306869507,0.0355159193277359,0.0,111.2,1,18.8,57.7,23.6,1.09,23.1,6.0,143.7,88.1,39.9,11300236,17491,F4_direct,4,100.0,8.48528137423857,0,,,,,,,,0.0,1
56.9063,118.2807,50.0,5.70087712549569,42.0,55.0,5,2013,2018,5,R47,Chara Most,Russia,Russia_C,CALM_Russia_C,,,,0,707.0261840820312,0.6319167017936707,0.995282769203186,0.09701651334762573,-0.7637939453125,2.109027624130249,-4.002932071685791,1857.6772766113281,3286.2195739746094,43.100780464062694,17.441558837890625,-25.492141723632812,1.5425567626953125,0.031594809144735336,0.0,92.0,1,22.7,56.7,20.6,1.13,12.8,5.6,111.5,65.7,40.5,11300236,17492,F4_direct,4,100.0,5.70087712549569,0,,,,,,,,0.0,1
