cond,target,split,seed,dset,xset,anchor,pseudo,r,resid,iw,n,n_blocks,n_train,n_train_real,lam,rmse_cm,bias_cm,mae_cm,r2,fit_s,error
noinfo,Lena,0,2,alaska,x25,stefan,none,0.0,ridge,0,2958,20,13606,13606,0.75,23.132,-2.892,15.046,-0.2168,0.0,
noinfo,Lena,0,2,alaska,x25,stefan,none,0.0,ridge,0,2958,20,13606,13606,1.0,24.72,-5.749,15.951,-0.3896,0.0,
noinfo,Lena,0,0,alaska,x25,stefan,none,0.0,catboost_lo,0,2958,20,13606,13606,0.0,21.624,5.676,15.517,-0.0633,0.4,
noinfo,Lena,0,0,alaska,x25,stefan,none,0.0,catboost_lo,0,2958,20,13606,13606,0.25,22.069,7.218,16.335,-0.1075,0.4,
noinfo,Lena,0,0,alaska,x25,stefan,none,0.0,catboost_lo,0,2958,20,13606,13606,0.5,22.639,8.759,17.265,-0.1655,0.4,
noinfo,Lena,0,0,alaska,x25,stefan,none,0.0,catboost_lo,0,2958,20,13606,13606,0.75,23.324,10.301,18.278,-0.237,0.4,
noinfo,Lena,0,0,alaska,x25,stefan,none,0.0,catboost_lo,0,2958,20,13606,13606,1.0,24.114,11.842,19.351,-0.3223,0.4,
noinfo,Lena,0,1,alaska,x25,stefan,none,0.0,catboost_lo,0,2958,20,13606,13606,0.0,21.624,5.676,15.517,-0.0633,0.4,
noinfo,Lena,0,1,alaska,x25,stefan,none,0.0,catboost_lo,0,2958,20,13606,13606,0.25,22.031,7.031,16.242,-0.1037,0.4,
noinfo,Lena,0,1,alaska,x25,stefan,none,0.0,catboost_lo,0,2958,20,13606,13606,0.5,22.529,8.386,17.048,-0.1541,0.4,
noinfo,Lena,0,1,alaska,x25,stefan,none,0.0,catboost_lo,0,2958,20,13606,13606,0.75,23.112,9.742,17.922,-0.2147,0.4,
noinfo,Lena,0,1,alaska,x25,stefan,none,0.0,catboost_lo,0,2958,20,13606,13606,1.0,23.774,11.097,18.849,-0.2853,0.4,
noinfo,Lena,0,2,alaska,x25,stefan,none,0.0,catboost_lo,0,2958,20,13606,13606,0.0,21.624,5.676,15.517,-0.0633,0.5,
noinfo,Lena,0,2,alaska,x25,stefan,none,0.0,catboost_lo,0,2958,20,13606,13606,0.25,22.152,7.352,16.413,-0.1159,0.5,
noinfo,Lena,0,2,alaska,x25,stefan,none,0.0,catboost_lo,0,2958,20,13606,13606,0.5,22.811,9.027,17.43,-0.1833,0.5,
noinfo,Lena,0,2,alaska,x25,stefan,none,0.0,catboost_lo,0,2958,20,13606,13606,0.75,23.591,10.703,18.532,-0.2655,0.5,
noinfo,Lena,0,2,alaska,x25,stefan,none,0.0,catboost_lo,0,2958,20,13606,13606,1.0,24.479,12.378,19.699,-0.3626,0.5,
noinfo,Lena,0,0,alaska,x25,stefan,none,0.0,catboost,0,2958,20,13606,13606,0.0,21.624,5.676,15.517,-0.0633,2.3,
noinfo,Lena,0,0,alaska,x25,stefan,none,0.0,catboost,0,2958,20,13606,13606,0.25,22.363,8.072,16.793,-0.1373,2.3,
noinfo,Lena,0,0,alaska,x25,stefan,none,0.0,catboost,0,2958,20,13606,13606,0.5,23.346,10.467,18.276,-0.2394,2.3,
noinfo,Lena,0,0,alaska,x25,stefan,none,0.0,catboost,0,2958,20,13606,13606,0.75,24.543,12.863,19.888,-0.3698,2.3,
noinfo,Lena,0,0,alaska,x25,stefan,none,0.0,catboost,0,2958,20,13606,13606,1.0,25.925,15.258,21.608,-0.5283,2.3,
noinfo,Lena,0,1,alaska,x25,stefan,none,0.0,catboost,0,2958,20,13606,13606,0.0,21.624,5.676,15.517,-0.0633,2.3,
noinfo,Lena,0,1,alaska,x25,stefan,none,0.0,catboost,0,2958,20,13606,13606,0.25,22.161,7.557,16.476,-0.1168,2.3,
noinfo,Lena,0,1,alaska,x25,stefan,none,0.0,catboost,0,2958,20,13606,13606,0.5,22.877,9.437,17.59,-0.1901,2.3,
noinfo,Lena,0,1,alaska,x25,stefan,none,0.0,catboost,0,2958,20,13606,13606,0.75,23.754,11.317,18.801,-0.2831,2.3,
noinfo,Lena,0,1,alaska,x25,stefan,none,0.0,catboost,0,2958,20,13606,13606,1.0,24.777,13.197,20.082,-0.396,2.3,
noinfo,Lena,0,2,alaska,x25,stefan,none,0.0,catboost,0,2958,20,13606,13606,0.0,21.624,5.676,15.517,-0.0633,1.8,
noinfo,Lena,0,2,alaska,x25,stefan,none,0.0,catboost,0,2958,20,13606,13606,0.25,22.182,7.63,16.509,-0.1188,1.8,
noinfo,Lena,0,2,alaska,x25,stefan,none,0.0,catboost,0,2958,20,13606,13606,0.5,22.926,9.583,17.671,-0.1951,1.8,
noinfo,Lena,0,2,alaska,x25,stefan,none,0.0,catboost,0,2958,20,13606,13606,0.75,23.838,11.537,18.953,-0.2922,1.8,
noinfo,Lena,0,2,alaska,x25,stefan,none,0.0,catboost,0,2958,20,13606,13606,1.0,24.901,13.49,20.327,-0.41,1.8,
noinfo,Lena,0,0,alaska,x25,stefan,none,0.0,mlp,0,2958,20,13606,13606,0.0,21.624,5.676,15.517,-0.0633,0.7,
noinfo,Lena,0,0,alaska,x25,stefan,none,0.0,mlp,0,2958,20,13606,13606,0.25,21.729,5.935,15.775,-0.0736,0.7,
noinfo,Lena,0,0,alaska,x25,stefan,none,0.0,mlp,0,2958,20,13606,13606,0.5,21.936,6.193,16.127,-0.0942,0.7,
noinfo,Lena,0,0,alaska,x25,stefan,none,0.0,mlp,0,2958,20,13606,13606,0.75,22.244,6.451,16.554,-0.1251,0.7,
noinfo,Lena,0,0,alaska,x25,stefan,none,0.0,mlp,0,2958,20,13606,13606,1.0,22.647,6.709,17.048,-0.1663,0.7,
