scheme,seed,fold,model,n_test,E_train,nnd_median_km,rmse_cm,mae_cm,bias_cm,r2
block_0.5,1,2,ridge,1869,1.6307,19.378,12.582,8.452,-1.313,0.099
block_0.5,1,2,catboost_lo,1869,1.6307,19.378,13.351,8.493,-3.594,-0.0145
block_0.5,1,2,stefan_ridge_l075,1869,1.6307,19.378,12.768,8.244,-0.55,0.0721
block_0.5,1,3,stefan,1703,1.619,25.537,11.268,8.486,0.427,-0.0062
block_0.5,1,3,ridge,1703,1.619,25.537,11.803,9.177,1.591,-0.1041
block_0.5,1,3,catboost_lo,1703,1.619,25.537,12.136,9.008,-4.573,-0.1672
block_0.5,1,3,stefan_ridge_l075,1703,1.619,25.537,11.62,8.964,1.342,-0.0701
block_0.5,1,4,stefan,1269,1.6203,29.191,22.07,16.282,0.763,0.1256
block_0.5,1,4,ridge,1269,1.6203,29.191,22.239,14.835,-7.053,0.1121
block_0.5,1,4,catboost_lo,1269,1.6203,29.191,22.198,14.974,-3.566,0.1154
block_0.5,1,4,stefan_ridge_l075,1269,1.6203,29.191,21.707,14.608,-5.258,0.1541
block_0.5,1,5,stefan,1676,1.607,6.282,11.912,8.751,-3.046,-0.0317
block_0.5,1,5,ridge,1676,1.607,6.282,11.481,8.886,-1.215,0.0416
block_0.5,1,5,catboost_lo,1676,1.607,6.282,11.989,8.934,-2.549,-0.045
block_0.5,1,5,stefan_ridge_l075,1676,1.607,6.282,11.337,8.712,-1.826,0.0655
block_0.5,2,0,stefan,4716,1.5734,72.128,11.048,8.924,-5.929,-0.3898
block_0.5,2,0,ridge,4716,1.5734,72.128,10.384,8.348,4.504,-0.2278
block_0.5,2,0,catboost_lo,4716,1.5734,72.128,18.565,16.193,15.9,-2.9239
block_0.5,2,0,stefan_ridge_l075,4716,1.5734,72.128,9.41,7.735,1.187,-0.0083
block_0.5,2,1,stefan,2273,1.6269,25.303,13.472,10.062,1.15,0.1228
block_0.5,2,1,ridge,2273,1.6269,25.303,12.602,9.778,0.986,0.2325
block_0.5,2,1,catboost_lo,2273,1.6269,25.303,13.209,9.893,-1.363,0.1568
block_0.5,2,1,stefan_ridge_l075,2273,1.6269,25.303,12.702,9.789,1.009,0.2203
block_0.5,2,2,stefan,1609,1.6406,19.472,11.05,8.58,4.979,-0.0198
block_0.5,2,2,ridge,1609,1.6406,19.472,9.639,7.264,-1.333,0.2239
block_0.5,2,2,catboost_lo,1609,1.6406,19.472,9.744,7.4,-0.983,0.2071
block_0.5,2,2,stefan_ridge_l075,1609,1.6406,19.472,9.566,7.181,0.256,0.2356
