table,region,subset,n,n_eval,n_blocks,frac,alt_mean,alt_sd,sqrt_tdd_mean,mid_year_mean,year_gap_mean,n_years_median,frac_multi_year,train_set,method,n_seed,primary,rmse,rmse_seed_sd,rmse_ens,bias,mae,r2,n_folds,rmse_fold_sd,n_a,n_b,nboot,d_rmse,d_rmse_lo,d_rmse_hi,d_bias,d_bias_lo,d_bias_hi,rmse_a,rmse_b,d_bias_expected_lit,year_gap_a,year_gap_b,n_train_a,n_train_b,slope_cm_yr,slope_se_ols,slope_lo,slope_hi,lit_trend_cm_yr,mid_year_sd,year_min,year_max,resid_mean,n_blocks_with_year_var
delta_subset,Alaska,after-before,8917,,74.0,,,,,,,,,all,catboost_lo,,,,,,,,,,,119.0,8798.0,400.0,6.031002916727347,3.086080101522259,10.139361983450097,-14.811287908015647,-21.434600818459124,16.58327056008831,20.30426674414347,14.273263827416121,-6.507797226642419,-4.5,3.6347465333030233,,,,,,,,,,,,
delta_subset,Alaska,inside-overlap,8808,,74.0,,,,,,,,,all,catboost_lo,,,,,,,,,,,4119.0,4689.0,400.0,-1.3651158011850626,-3.7031610359323444,-0.08210966070894367,0.43378532415888765,-0.6003423395022788,2.4265752490346766,17.441540546419855,18.806656347604918,-0.13739944271486923,0.71959213401311,0.8913414374066965,,,,,,,,,,,,
delta_subset,Alaska,overlap-before,13487,,74.0,,,,,,,,,overlap,stefan,,,,,,,,,,,4689.0,8798.0,400.0,5.440360305398837,1.0568080930510986,10.60490823231379,2.3771874034936022,-4.970271490462331,7.616026788428743,17.60373840517877,12.163378099779933,-2.1947240767170615,0.8913414374066965,3.6347465333030233,,,,,,,,,,,,
delta_subset,Alaska,inside-before,12917,,74.0,,,,,,,,,overlap,stefan,,,,,,,,,,,4119.0,8798.0,400.0,4.189869312499397,-0.043373155937540896,9.244092102546011,2.7352114523707916,-4.329880024572529,7.5814771732643536,16.35324741227933,12.163378099779933,-2.332123519431931,0.71959213401311,3.6347465333030233,,,,,,,,,,,,
delta_subset,Alaska,after-before,8917,,74.0,,,,,,,,,overlap,stefan,,,,,,,,,,,119.0,8798.0,400.0,6.4915389225219755,1.9187396802250878,18.671819622016663,6.4652367424665655,-0.38688633155222546,32.006639201542306,18.65491702230191,12.163378099779933,-6.507797226642419,-4.5,3.6347465333030233,,,,,,,,,,,,
delta_subset,Alaska,inside-overlap,8808,,74.0,,,,,,,,,overlap,stefan,,,,,,,,,,,4119.0,4689.0,400.0,-1.25049099289944,-3.3566039739650058,-0.03579250942213581,0.3580240488771892,-0.7358834688765975,2.3760729687576125,16.35324741227933,17.60373840517877,-0.13739944271486923,0.71959213401311,0.8913414374066965,,,,,,,,,,,,
delta_subset,Alaska,overlap-before,13487,,74.0,,,,,,,,,overlap,stefan_ridge,,,,,,,,,,,4689.0,8798.0,400.0,5.150293742232826,0.07569048591646536,9.653164944179922,2.631665547132438,-6.062828824098029,6.832510525620613,17.325138603856335,12.174844861623509,-2.1947240767170615,0.8913414374066965,3.6347465333030233,,,,,,,,,,,,
delta_subset,Alaska,inside-before,12917,,74.0,,,,,,,,,overlap,stefan_ridge,,,,,,,,,,,4119.0,8798.0,400.0,2.9534280607347245,-1.0708861297670356,6.32374263521613,4.3085066404072805,-3.3686486976981094,7.488404113208425,15.128272922358233,12.174844861623509,-2.332123519431931,0.71959213401311,3.6347465333030233,,,,,,,,,,,,
delta_subset,Alaska,after-before,8917,,74.0,,,,,,,,,overlap,stefan_ridge,,,,,,,,,,,119.0,8798.0,400.0,6.008598058326342,1.4051401530395686,11.66062689237133,8.377910966343897,1.8266050238810518,18.97986638067634,18.18344291994985,12.174844861623509,-6.507797226642419,-4.5,3.6347465333030233,,,,,,,,,,,,
delta_subset,Alaska,inside-overlap,8808,,74.0,,,,,,,,,overlap,stefan_ridge,,,,,,,,,,,4119.0,4689.0,400.0,-2.1968656814981014,-6.572105208749612,-0.01613330519766532,1.6768410932748428,-0.28260872937379156,4.9527769659252465,15.128272922358233,17.325138603856335,-0.13739944271486923,0.71959213401311,0.8913414374066965,,,,,,,,,,,,
