method,feature,group,fold,delta_rmse_cm,rmse_base_fold,n_eval
stefan_cb1,dem_slope,지형,0,-0.3982631674020901,11.28989012632896,4716
stefan_cb1,dem_slope,지형,1,0.04052418713078047,12.551555248439486,1778
stefan_cb1,dem_slope,지형,2,-0.020374633819361776,16.92621445250584,1778
stefan_cb1,dem_slope,지형,3,0.021234829733708514,11.237342541635392,1778
stefan_cb1,dem_slope,지형,4,-0.0022902339263540126,12.46598920580537,1778
stefan_cb1,dem_slope,지형,5,-0.27977488122499744,22.352233556706423,1778
stefan_cb1,dem_aspect_sin,지형,0,-0.020548630545371614,11.28989012632896,4716
stefan_cb1,dem_aspect_sin,지형,1,-0.011781217261184728,12.551555248439486,1778
stefan_cb1,dem_aspect_sin,지형,2,0.009576436623454754,16.92621445250584,1778
stefan_cb1,dem_aspect_sin,지형,3,-0.0008170977766011944,11.237342541635392,1778
stefan_cb1,dem_aspect_sin,지형,4,-0.004802297973048653,12.46598920580537,1778
stefan_cb1,dem_aspect_sin,지형,5,-0.07300646528739599,22.352233556706423,1778
stefan_cb1,dem_aspect_cos,지형,0,0.03388692658451351,11.28989012632896,4716
stefan_cb1,dem_aspect_cos,지형,1,0.003598687274555523,12.551555248439486,1778
stefan_cb1,dem_aspect_cos,지형,2,0.010934951554381556,16.92621445250584,1778
stefan_cb1,dem_aspect_cos,지형,3,-0.019364506312751217,11.237342541635392,1778
stefan_cb1,dem_aspect_cos,지형,4,-0.04697294984168998,12.46598920580537,1778
stefan_cb1,dem_aspect_cos,지형,5,-0.0019697359097889944,22.352233556706423,1778
stefan_cb1,dem_tpi,지형,0,0.09333456961074979,11.28989012632896,4716
stefan_cb1,dem_tpi,지형,1,-0.057670514640458845,12.551555248439486,1778
stefan_cb1,dem_tpi,지형,2,0.23260714337872593,16.92621445250584,1778
stefan_cb1,dem_tpi,지형,3,0.04661896499503868,11.237342541635392,1778
stefan_cb1,dem_tpi,지형,4,0.3073853607786045,12.46598920580537,1778
stefan_cb1,dem_tpi,지형,5,0.03495131460764256,22.352233556706423,1778
stefan_cb1,dem_rough,지형,0,-0.10544687873430725,11.28989012632896,4716
stefan_cb1,dem_rough,지형,1,0.055677878203959884,12.551555248439486,1778
stefan_cb1,dem_rough,지형,2,-0.030852188082247167,16.92621445250584,1778
stefan_cb1,dem_rough,지형,3,0.27034722876313105,11.237342541635392,1778
stefan_cb1,dem_rough,지형,4,0.12664361026183765,12.46598920580537,1778
stefan_cb1,dem_rough,지형,5,-0.18958599304545237,22.352233556706423,1778
stefan_cb1,e5_maat,기후,0,0.0,11.28989012632896,4716
stefan_cb1,e5_maat,기후,1,-0.032294350889770305,12.551555248439486,1778
