cond,target,dset,xset,anchor,pseudo,r,resid,iw,lam,family_tag,n_cells,n_seed,range_viol,mono_viol,mono_viol_obs,n_pairs,E_iqr_pred,E_iqr_obs,E_iqr_ratio,E_med_pred,E_med_obs
labels,Canada,alaska,x25,stefan_cci,none,0.0,cfm,0,0.0,analytic,374,3,0.0,0.31924019607843135,0.522671568627451,1632,0.4061983475693065,0.9419817575258502,0.4312167877180567,1.7403409199068445,1.6417616325197302
labels,Canada,alaska,x25,stefan_cci,none,0.0,cfm,0,0.25,residual,374,3,0.0,0.3541666666666667,0.522671568627451,1632,0.28596782661964215,0.9419817575258502,0.303581066549258,1.647602559190533,1.6417616325197302
labels,Canada,alaska,x25,stefan_cci,none,0.0,cfm,0,0.5,residual,374,3,0.0,0.4505718954248366,0.522671568627451,1632,0.26327749755056606,0.9419817575258502,0.2794932019087865,1.5536119619333055,1.6417616325197302
labels,Canada,alaska,x25,stefan_cci,none,0.0,cfm,0,0.75,residual,374,3,0.0,0.4979575163398693,0.522671568627451,1632,0.2955256568976648,0.9419817575258502,0.31372757968675935,1.4461680471543215,1.6417616325197302
labels,Canada,alaska,x25,stefan_cci,none,0.0,cfm,0,1.0,residual,374,3,0.0,0.5516748366013072,0.522671568627451,1632,0.36866312568324267,0.9419817575258502,0.3913697083174412,1.3597695761321678,1.6417616325197302
labels,Canada,alaska,x25,stefan_cci,none,0.0,ddpm,0,0.0,analytic,374,3,0.0,0.31924019607843135,0.522671568627451,1632,0.4061983475693065,0.9419817575258502,0.4312167877180567,1.7403409199068445,1.6417616325197302
labels,Canada,alaska,x25,stefan_cci,none,0.0,ddpm,0,0.25,residual,374,3,0.0,0.2979983660130719,0.522671568627451,1632,0.32289849554516414,0.9419817575258502,0.34278635755459735,1.6650550557067803,1.6417616325197302
labels,Canada,alaska,x25,stefan_cci,none,0.0,ddpm,0,0.5,residual,374,3,0.0,0.37540849673202614,0.522671568627451,1632,0.2767423643491744,0.9419817575258502,0.2937873925245096,1.6173508652275055,1.6417616325197302
labels,Canada,alaska,x25,stefan_cci,none,0.0,ddpm,0,0.75,residual,374,3,0.0,0.5002042483660131,0.522671568627451,1632,0.23405181441049172,0.9419817575258502,0.2484674597364151,1.513936841755914,1.6417616325197302
labels,Canada,alaska,x25,stefan_cci,none,0.0,ddpm,0,1.0,residual,374,3,0.0,0.5629084967320261,0.522671568627451,1632,0.2665542405465466,0.9419817575258502,0.2829717650229885,1.396122844709781,1.6417616325197302
