target,model,mode,stratum,n,n_blocks,frac,rmse_model,rmse_stefan,delta_rmse,ci_lo,ci_hi,bias_model,bias_stefan,flag
Canada,mlp,stefan+lam0.25,aoa_out,393,22,0.526,23.181,22.469,0.712,-0.377,2.326,-2.358,-0.097,
Canada,mlp,stefan+lam0.25,swe_in_range,746,35,0.999,26.707,26.519,0.188,-0.418,0.707,0.831,2.323,
Canada,mlp,stefan+lam0.25,swe_out_of_range,1,1,0.001,91.424,9.575,81.849,,,-91.424,-9.575,참고(n<10)
Canada,mlp,stefan+lam0.25,x25_all_in_range,4,4,0.005,34.561,36.116,-1.555,-2.935,-0.76,-8.484,-7.986,참고(n<10)
Canada,mlp,stefan+lam0.25,x25_any_out_of_range,743,32,0.995,26.851,26.443,0.408,-0.295,1.234,0.757,2.363,
Russia_W,ridge,direct,all,28,18,1.0,52.506,42.456,10.05,2.207,20.425,-41.292,-32.366,
Russia_W,ridge,direct,complete,28,18,1.0,52.506,42.456,10.05,2.207,20.425,-41.292,-32.366,
Russia_W,ridge,direct,aoa_in,25,16,0.893,44.708,38.702,6.007,1.118,12.119,-35.602,-29.283,
Russia_W,ridge,direct,aoa_out,3,2,0.107,95.257,65.89,29.367,,,-88.706,-58.054,참고(n<10)
Russia_W,ridge,direct,swe_in_range,23,13,0.821,44.152,42.254,1.897,-1.364,5.067,-34.662,-32.026,
Russia_W,ridge,direct,swe_out_of_range,5,5,0.179,80.445,43.37,37.075,21.374,60.329,-71.789,-33.929,참고(n<10)
Russia_W,ridge,direct,x25_all_in_range,11,6,0.393,38.457,41.011,-2.554,-7.174,0.047,-28.542,-30.78,
Russia_W,ridge,direct,x25_any_out_of_range,17,13,0.607,59.865,43.365,16.5,6.776,28.526,-49.542,-33.392,
Russia_W,ridge,stefan+lam0.25,all,28,18,1.0,44.748,42.456,2.293,0.7,4.53,-35.011,-32.366,
Russia_W,ridge,stefan+lam0.25,complete,28,18,1.0,44.748,42.456,2.293,0.7,4.53,-35.011,-32.366,
Russia_W,ridge,stefan+lam0.25,aoa_in,25,16,0.893,40.209,38.702,1.507,0.264,3.145,-31.276,-29.283,
Russia_W,ridge,stefan+lam0.25,aoa_out,3,2,0.107,72.223,65.89,6.333,,,-66.134,-58.054,참고(n<10)
Russia_W,ridge,stefan+lam0.25,swe_in_range,23,13,0.821,42.922,42.254,0.667,-0.21,1.575,-33.054,-32.026,
Russia_W,ridge,stefan+lam0.25,swe_out_of_range,5,5,0.179,52.336,43.37,8.966,5.303,15.167,-44.013,-33.929,참고(n<10)
Russia_W,ridge,stefan+lam0.25,x25_all_in_range,11,6,0.393,40.572,41.011,-0.438,-1.527,0.315,-30.526,-30.78,
Russia_W,ridge,stefan+lam0.25,x25_any_out_of_range,17,13,0.607,47.254,43.365,3.889,1.876,6.613,-37.913,-33.392,
Russia_W,catboost_lo,direct,all,28,18,1.0,46.278,42.456,3.822,0.489,6.593,-37.298,-32.366,
Russia_W,catboost_lo,direct,complete,28,18,1.0,46.278,42.456,3.822,0.489,6.593,-37.298,-32.366,
Russia_W,catboost_lo,direct,aoa_in,25,16,0.893,41.878,38.702,3.176,0.053,6.133,-33.729,-29.283,
Russia_W,catboost_lo,direct,aoa_out,3,2,0.107,73.306,65.89,7.416,,,-67.047,-58.054,참고(n<10)
Russia_W,catboost_lo,direct,swe_in_range,23,13,0.821,44.548,42.254,2.294,-0.822,4.963,-35.499,-32.026,
Russia_W,catboost_lo,direct,swe_out_of_range,5,5,0.179,53.518,43.37,10.148,7.725,13.532,-45.575,-33.929,참고(n<10)
Russia_W,catboost_lo,direct,x25_all_in_range,11,6,0.393,40.119,41.011,-0.891,-6.918,2.917,-30.174,-30.78,
Russia_W,catboost_lo,direct,x25_any_out_of_range,17,13,0.607,49.859,43.365,6.493,4.849,8.844,-41.909,-33.392,
Russia_W,catboost_lo,stefan+lam0.25,all,28,18,1.0,42.648,42.456,0.193,-0.382,0.728,-32.758,-32.366,
Russia_W,catboost_lo,stefan+lam0.25,complete,28,18,1.0,42.648,42.456,0.193,-0.382,0.728,-32.758,-32.366,
Russia_W,catboost_lo,stefan+lam0.25,aoa_in,25,16,0.893,38.879,38.702,0.178,-0.493,0.795,-29.669,-29.283,
Russia_W,catboost_lo,stefan+lam0.25,aoa_out,3,2,0.107,66.177,65.89,0.287,,,-58.504,-58.054,참고(n<10)
