assignment,method,fold,n,n_blocks,has_bigblock,rmse,bias,E_fold
random_7,stefan_ridge075,5,1929,15,False,13.866144489873575,-1.4649774147410661,1.6423641798603126
random_7,ridge,0,1558,22,False,19.46783961744916,-3.295657867904382,1.6071708781103275
random_7,ridge,1,1403,4,False,11.536093517541623,2.312623073296256,1.6126706275525737
random_7,ridge,2,2019,18,False,16.938497863739325,4.7395064225106545,1.6346306204077228
random_7,ridge,3,4719,4,True,10.605333810646822,4.993749412198444,1.5734918492243524
random_7,ridge,4,1978,11,False,12.597552333412944,1.9755006787810394,1.634244128145676
random_7,ridge,5,1929,15,False,14.421640340670095,-3.5157564450349437,1.6423641798603126
random_7,catboost_lo,0,1558,22,False,20.19832533492321,-6.420145032675792,1.6071708781103275
random_7,catboost_lo,1,1403,4,False,11.192581876384514,-0.031038452180961153,1.6126706275525737
random_7,catboost_lo,2,2019,18,False,16.40596295133694,2.3889916263742212,1.6346306204077228
random_7,catboost_lo,3,4719,4,True,18.050614882975516,14.961210382993952,1.5734918492243524
random_7,catboost_lo,4,1978,11,False,12.605308469946982,-2.1447954155312132,1.634244128145676
random_7,catboost_lo,5,1929,15,False,14.508285011119161,-4.354479489878537,1.6423641798603126
random_8,stefan,0,5103,4,True,11.68819448527385,-4.810993823702647,1.5812871424135149
random_8,stefan,1,1753,36,False,23.061804338261958,0.7312619518487473,1.6234689799046926
random_8,stefan,2,1704,2,False,11.265934536566418,0.4325108682354599,1.6189914686611206
random_8,stefan,3,1661,3,False,17.196105624472775,2.855090212055903,1.627439057399224
random_8,stefan,4,1659,10,False,10.985260331743504,3.4040215393112088,1.6348500033112014
random_8,stefan,5,1726,19,False,12.398336011959705,-1.3679618299001706,1.6134894980279058
random_8,stefan_ridge075,0,5103,4,True,10.138883934175041,1.482916672759838,1.5812871424135149
random_8,stefan_ridge075,1,1753,36,False,21.553497622791454,-3.3600543715407327,1.6234689799046926
random_8,stefan_ridge075,2,1704,2,False,11.617800446336238,1.3430469238940845,1.6189914686611206
random_8,stefan_ridge075,3,1661,3,False,17.285763635425884,6.178586551904187,1.627439057399224
random_8,stefan_ridge075,4,1659,10,False,9.686833112232302,-0.3559179555813062,1.6348500033112014
random_8,stefan_ridge075,5,1726,19,False,12.171591812655151,0.3291614072439756,1.6134894980279058
random_8,ridge,0,5103,4,True,10.953569607589342,4.458503219582025,1.5812871424135149
random_8,ridge,1,1753,36,False,21.636416837216135,-4.762518865590286,1.6234689799046926
random_8,ridge,2,1704,2,False,11.800711272424797,1.5905525379284144,1.6189914686611206
random_8,ridge,3,1661,3,False,17.42294631202299,7.069818368067436,1.627439057399224
random_8,ridge,4,1659,10,False,9.801939124852149,-1.6159975902646573,1.6348500033112014
random_8,ridge,5,1726,19,False,12.516960760487626,0.9914492273432104,1.6134894980279058
random_8,catboost_lo,0,5103,4,True,16.959163906895128,12.763430361955503,1.5812871424135149
random_8,catboost_lo,1,1753,36,False,21.48815973678442,-2.646615397690531,1.6234689799046926
random_8,catboost_lo,2,1704,2,False,11.72059563710808,-3.5648289163795686,1.6189914686611206
random_8,catboost_lo,3,1661,3,False,16.774490359195777,2.9378858591712165,1.627439057399224
random_8,catboost_lo,4,1659,10,False,10.791255177889111,-4.015664247392421,1.6348500033112014
random_8,catboost_lo,5,1726,19,False,12.560355338224175,-1.4615632909688483,1.6134894980279058
random_9,stefan,0,902,35,False,19.508068970461167,9.972523246202092,1.6404084843021784
random_9,stefan,1,1332,3,False,10.856867415574524,-2.619953265072241,1.6097883277753438
random_9,stefan,2,2296,21,False,15.1272345085845,4.467660188896774,1.6475866705212423
random_9,stefan,3,2361,9,False,14.944704775167919,-2.3733151740312035,1.6061780893307704
random_9,stefan,4,4716,1,True,11.04826970573343,-5.928663311800569,1.5733794682552538
random_9,stefan,5,1999,5,False,18.984763966940978,1.7821481185845456,1.6238152512414814
random_9,stefan_ridge075,0,902,35,False,15.908101976333326,3.3543976057845475,1.6404084843021784
random_9,stefan_ridge075,1,1332,3,False,10.594025962558579,-0.17913263901914322,1.6097883277753438
random_9,stefan_ridge075,2,2296,21,False,13.867744727155317,-0.8682814082021585,1.6475866705212423
random_9,stefan_ridge075,3,2361,9,False,13.942138908870797,0.4300929720563668,1.6061780893307704
random_9,stefan_ridge075,4,4716,1,True,9.410166349515459,1.1842986969353404,1.5733794682552538
random_9,stefan_ridge075,5,1999,5,False,18.80671467962641,2.933763099849599,1.6238152512414814
random_9,ridge,0,902,35,False,15.763153298345083,1.2863591117997588,1.6404084843021784
random_9,ridge,1,1332,3,False,10.936792438062035,0.6964777611030449,1.6097883277753438
random_9,ridge,2,2296,21,False,14.229260884726273,-2.7035524380434675,1.6475866705212423
random_9,ridge,3,2361,9,False,13.955034802335877,1.2842501658825631,1.6061780893307704
random_9,ridge,4,4716,1,True,10.383123278867753,4.501277217311435,1.5733794682552538
random_9,ridge,5,1999,5,False,18.92022503090957,3.298002904064474,1.6238152512414814
random_9,catboost_lo,0,902,35,False,16.490585509495432,4.873371601207688,1.6404084843021784
random_9,catboost_lo,1,1332,3,False,10.45173043013281,-0.5834118249220581,1.6097883277753438
