block,region,n,lat,lon,E,E_med,alt_mean,sg_clay_5_15,sg_sand_5_15,sg_silt_5_15,sg_bdod_5_15,sg_cfvo_5_15,sg_phh2o_5_15,sg_soc_0_5,sg_soc_5_15,sg_soc_15_30,e5_maat,e5_tdd,e5_fdd,e5_sqrt_tdd,e5_twarm,e5_tcold,e5_stl1,e5_swe
13499676,Alaska,36,67.98999611111111,-161.95054166666665,1.1432033032770907,1.0489696813157074,40.64814814814815,16.577777777777776,32.338888888888874,51.022222222222226,0.8127777777777778,2.8111111111111113,5.755555555555556,300.65000000000003,193.10555555555558,110.55555555555556,-5.565117650561863,1264.2827996148003,3268.808945549859,35.55665302500678,13.784774780273438,-22.218402438693577,0.9716676655742857,0.08933528636892635
13499678,Alaska,99,67.91677161616163,-160.75469010101008,1.1154347149051183,1.0996154541838272,37.79797979797979,16.92525252525253,33.28080808080809,49.83232323232321,0.7938383838383839,13.213131313131315,5.6000000000000005,306.639393939394,236.57979797979795,142.31111111111107,-6.240810466535164,1147.0897447990649,3398.4457619406962,33.867847235147174,13.218365293560606,-23.58759238503196,0.3300254028854948,0.08314070986075835
13499679,Alaska,163,67.94356141104292,-160.26733233128834,1.1670279911002768,1.1341465183426078,38.38854805725972,17.319018404907975,32.774233128834354,49.998159509202445,0.7673619631901839,12.67730061349693,5.572392638036811,322.97484662576693,253.62699386503067,153.71840490797544,-6.586990921043911,1081.8673455173985,3459.7579682707055,32.88878121624783,12.782122840179255,-23.996248678195695,0.36303469886077694,0.07972192873984026
13499720,Canada,157,67.87012282681226,-139.7426731710646,1.0376312281864766,0.9433461381366305,39.47064745728439,23.731210191082802,25.33694267515924,50.89872611464967,0.8479617834394905,7.114012738853503,5.899999999999999,168.79426751592356,121.28152866242036,132.10828025477701,-6.5552731927033445,1445.954236073099,3800.8872690383037,38.025553099195456,15.095838413117038,-26.956710037911773,1.0182008599020114,0.043031078496366525
13499721,Canada,33,67.9247796969697,-139.4014006060606,1.1734047219731265,1.0021188104383736,44.484848484848484,26.53030303030303,25.94545454545454,47.5939393939394,0.8596969696969696,6.3121212121212125,5.86969696969697,174.55757575757576,129.95151515151517,133.0909090909091,-6.40774696523493,1438.2492629542496,3739.799131913618,37.92424750588143,14.946511008522727,-26.55813691110322,0.903205855326219,0.04145291797590973
13599676,Alaska,59,68.02107593220339,-161.52199745762712,1.128587552089517,1.1344368906955666,38.68644067796611,15.799999999999997,34.0,50.19999999999999,0.86,5.600000000000001,5.8,301.0999999999999,155.70000000000005,98.0,-6.194551055714236,1174.6883063882085,3408.701822313212,34.273497523590514,13.286785578323624,-22.97246874793101,0.6462483537399163,0.08980255283541592
13599677,Alaska,4,68.0196425,-161.4983825,1.2683296567647862,1.3024114517642236,43.41666666666667,15.8,34.0,50.2,0.86,5.6,5.8,301.1,155.7,98.0,-6.210154056549072,1171.7869567871094,3411.5011138916016,34.23137386648554,13.26904296875,-22.986007690429688,0.6262919306755066,0.0898581147193908
13599680,Alaska,50,68.1381376,-159.8282658,1.1316967637265911,1.065091068724655,37.72,17.896,31.427999999999994,50.727999999999994,0.7415999999999998,10.352,5.644,326.816,229.22800000000004,134.244,-6.693145751953125,1110.9211120605469,3527.03727722168,33.33048322572816,13.07110595703125,-24.631515502929688,0.5037663578987122,0.0721004903316497
13599681,Alaska,188,68.09688968085106,-159.43812521276595,1.2804579690997002,1.1426895440676783,42.58244680851064,16.16595744680851,31.979255319148944,51.911702127659595,0.6561170212765958,8.861702127659576,5.606382978723405,335.82021276595736,269.6611702127659,161.4255319148936,-6.643937136264557,1105.9218524364715,3504.2153955824833,33.25539851158445,13.063885303253823,-24.453094644749417,0.4940665746305851,0.06954434430821135
13599682,Alaska,19,68.04353526315789,-158.58402842105264,1.3202243873521007,1.2704691711587712,43.99122807017544,19.863157894736847,33.363157894736844,46.873684210526314,0.786842105263158,4.873684210526317,5.821052631578947,321.9947368421052,222.2684210526316,134.83157894736837,-6.312643527984619,1110.2906188964844,3388.253204345703,33.32102367719941,13.22833251953125,-23.35189819335937,0.7773895263671875,0.0787679553031921
