cond,target,anchor,model,variant,lam,n,n_blocks,rmse_anchor,rmse_standard,rmse_centered,d_vs_anchor,ci_lo,ci_hi,d_vs_standard,ci2_lo,ci2_hi
noinfo,Lena,stefan_cci,mlp,direct_structure,1.0,2958,20,20.760940506871332,23.237026795651786,21.262869743973052,0.5019292371017201,-0.08960996976770445,1.2269161157203174,-1.9741570516787341,,
noinfo,Lena,stefan_cci,ftt,resid_centered,0.25,2958,20,20.760940506871332,20.612870286073914,20.668772377532246,-0.09216812933908614,-0.2587615401946899,0.01834834016426225,0.05590209145833214,-0.3365554046278118,0.5680463980800133
noinfo,Lena,stefan_cci,ftt,resid_centered,0.5,2958,20,20.760940506871332,20.70148333377472,20.622877735987885,-0.13806277088344743,-0.5084560053114031,0.09304990002135333,-0.07860559778683651,-0.8599537943359873,0.9909194832111751
noinfo,Lena,stefan_cci,ftt,resid_centered,1.0,2958,20,20.760940506871332,21.569308149701925,20.670831045622272,-0.09010946124906027,-0.9338780356830567,0.4006916757334671,-0.8984771040796531,-2.416477036074879,2.452755741063189
noinfo,Lena,stefan_cci,ftt,direct_structure,1.0,2958,20,20.760940506871332,20.63643705648956,20.68179460543257,-0.07914590143876055,-1.5893319385709048,0.7718790572136812,0.045357548943012915,,
noinfo,Lena,stefan_cci,tabm,resid_centered,0.25,2958,20,20.760940506871332,20.632757588936446,20.687136618990046,-0.07380388788128656,-0.48045331025816457,0.11443922910277607,0.054379030053599564,-0.3664724371373988,0.7174418006018781
noinfo,Lena,stefan_cci,tabm,resid_centered,0.5,2958,20,20.760940506871332,20.840220049028748,20.74589602437252,-0.015044482498812073,-0.8723194865854565,0.3685144814642844,-0.09432402465622758,-0.9151226134398901,1.604897501248146
noinfo,Lena,stefan_cci,tabm,resid_centered,1.0,2958,20,20.760940506871332,22.209302027544105,21.254227611746703,0.4932871048753711,-1.3511212961477792,1.3927175366279696,-0.9550744157974016,-2.669143495346299,2.3922641161440668
noinfo,Lena,stefan_cci,tabm,direct_structure,1.0,2958,20,20.760940506871332,22.1335371301474,21.61403522155504,0.8530947146837065,-1.0956051365571298,1.711821879079136,-0.5195019085923605,,
noinfo,Lena,stefan_cci,cfm,resid_centered,0.25,2958,20,20.760940506871332,20.587898342545845,20.597501089014326,-0.16343941785700622,-0.3573417031312972,0.18737422838258613,0.009602746468480916,-0.5277947350459441,1.2991261684436686
noinfo,Lena,stefan_cci,cfm,resid_centered,0.5,2958,20,20.760940506871332,21.24130464556446,20.82778771566048,0.06684720878914874,-0.4746306785949064,0.9536169640081771,-0.41351692990397737,-1.6348214123062095,2.0674447232222843
noinfo,Lena,stefan_cci,cfm,resid_centered,1.0,2958,20,20.760940506871332,24.68431941860271,22.400312276075276,1.6393717692039438,-0.35910525166053425,4.161542233292625,-2.2840071425274324,-4.976391051148911,3.001896899837937
noinfo,Lena,stefan_cci,cfm,direct_structure,1.0,2958,20,20.760940506871332,31.40210442366835,25.350767858004662,4.58982735113333,2.2515470053189754,8.841443229821595,-6.051336565663689,,
noinfo,Lena,stefan_cci,ddpm,resid_centered,0.25,2958,20,20.760940506871332,20.689249376585988,20.74690369427673,-0.014036812594600434,-0.218553966759732,0.192435566027876,0.05765431769074425,-0.21672398176955457,0.5391353056092197
noinfo,Lena,stefan_cci,ddpm,resid_centered,0.5,2958,20,20.760940506871332,20.85445977089903,20.890508013188647,0.12956750631731495,-0.47781802391822675,0.611944598665069,0.036048242289616894,-0.44921293140937507,1.0683675574814222
noinfo,Lena,stefan_cci,ddpm,resid_centered,1.0,2958,20,20.760940506871332,21.86642604710062,21.634643498042646,0.8737029911713137,-0.11118475416500075,1.9504695446798048,-0.23178254905797502,-1.3373545938535034,1.89764442372748
noinfo,Lena,stefan_cci,ddpm,direct_structure,1.0,2958,20,20.760940506871332,22.60902453767846,21.997746756267464,1.2368062493961318,0.06923415020753435,3.055159251017946,-0.6112777814109975,,
noinfo,Lena,stefan_cci,nflow,resid_centered,0.25,2958,20,20.760940506871332,20.629879361400384,20.55630032993206,-0.2046401769392716,-1.0442468632582016,0.25945398170276696,-0.07357903146832356,-0.8264959887206516,1.5004190663137316
noinfo,Lena,stefan_cci,nflow,resid_centered,0.5,2958,20,20.760940506871332,21.86151023847963,21.00320787048871,0.24226736361737622,-1.8956913897298886,1.2924802852974564,-0.8583023679909232,-2.6379743180228,2.5098583201940348
noinfo,Lena,stefan_cci,nflow,resid_centered,1.0,2958,20,20.760940506871332,27.493060068042325,23.65093087513441,2.889990368263078,-2.2593569211485365,5.450902902209586,-3.8421291929079153,-7.66345991565202,3.5874177599220554
noinfo,Lena,stefan_cci,nflow,direct_structure,1.0,2958,20,20.760940506871332,22.46226143340614,21.728161386864162,0.9672208799928299,0.19495441851240847,2.6198366083743867,-0.7341000465419789,,
noinfo,Canada,stefan,ridge,resid_centered,0.25,747,36,26.50381072868332,27.745204466721223,27.516365744196687,1.0125550155133674,-0.7035179669326967,5.494343521009726,-0.22883872252453585,-2.81947500129556,2.7785387162549378
