cond,target,split,seed,dset,xset,anchor,pseudo,r,resid,iw,n,n_blocks,n_train,n_train_real,lam,rmse_cm,bias_cm,mae_cm,r2,fit_s
covonly,Russia_C,0,0,alaska,x25,stefan,none,0.0,realmlp,0,3,3,13606,13606,0.75,74.129,-36.132,48.857,0.0513,149.0
covonly,Russia_C,0,0,alaska,x25,stefan,none,0.0,realmlp,0,3,3,13606,13606,1.0,74.158,-34.551,50.113,0.0506,149.0
covonly,Russia_C,0,0,alaska,x25,stefan_cci,none,0.0,realmlp,0,3,3,13606,13606,0.0,70.323,-41.55,42.065,0.1462,147.8
covonly,Russia_C,0,0,alaska,x25,stefan_cci,none,0.0,realmlp,0,3,3,13606,13606,0.25,72.471,-43.093,43.741,0.0933,147.8
covonly,Russia_C,0,0,alaska,x25,stefan_cci,none,0.0,realmlp,0,3,3,13606,13606,0.5,74.624,-44.636,45.418,0.0386,147.8
covonly,Russia_C,0,0,alaska,x25,stefan_cci,none,0.0,realmlp,0,3,3,13606,13606,0.75,76.781,-46.179,47.094,-0.0178,147.8
covonly,Russia_C,0,0,alaska,x25,stefan_cci,none,0.0,realmlp,0,3,3,13606,13606,1.0,78.942,-47.722,48.771,-0.0759,147.8
noinfo,Russia_C,0,0,alaska,x25,none,none,0.0,realmlp,0,7,6,13606,13606,1.0,60.735,-23.101,35.71,-0.1186,148.8
noinfo,Russia_C,0,0,alaska,x25,stefan,none,0.0,realmlp,0,7,6,13606,13606,0.0,53.386,-19.904,31.941,0.1357,148.6
noinfo,Russia_C,0,0,alaska,x25,stefan,none,0.0,realmlp,0,7,6,13606,13606,0.25,53.073,-19.183,32.282,0.1458,148.6
noinfo,Russia_C,0,0,alaska,x25,stefan,none,0.0,realmlp,0,7,6,13606,13606,0.5,52.824,-18.463,32.623,0.1538,148.6
noinfo,Russia_C,0,0,alaska,x25,stefan,none,0.0,realmlp,0,7,6,13606,13606,0.75,52.64,-17.742,32.963,0.1597,148.6
noinfo,Russia_C,0,0,alaska,x25,stefan,none,0.0,realmlp,0,7,6,13606,13606,1.0,52.52,-17.022,33.304,0.1635,148.6
noinfo,Russia_C,0,0,alaska,x25,stefan_cci,none,0.0,realmlp,0,7,6,13606,13606,0.0,54.0,-17.065,36.086,0.1157,149.5
noinfo,Russia_C,0,0,alaska,x25,stefan_cci,none,0.0,realmlp,0,7,6,13606,13606,0.25,54.879,-20.079,35.568,0.0867,149.5
noinfo,Russia_C,0,0,alaska,x25,stefan_cci,none,0.0,realmlp,0,7,6,13606,13606,0.5,56.038,-23.093,35.05,0.0477,149.5
noinfo,Russia_C,0,0,alaska,x25,stefan_cci,none,0.0,realmlp,0,7,6,13606,13606,0.75,57.459,-26.107,34.532,-0.0012,149.5
noinfo,Russia_C,0,0,alaska,x25,stefan_cci,none,0.0,realmlp,0,7,6,13606,13606,1.0,59.124,-29.121,34.014,-0.06,149.5
labels,Russia_C,0,0,alaska,x25,none,none,0.0,realmlp,0,3,3,13610,13610,1.0,85.681,-44.741,53.898,-0.2674,147.9
labels,Russia_C,0,0,alaska,x25,stefan,none,0.0,realmlp,0,3,3,13610,13610,0.0,74.495,-40.874,45.091,0.0419,148.8
labels,Russia_C,0,0,alaska,x25,stefan,none,0.0,realmlp,0,3,3,13610,13610,0.25,74.901,-39.24,47.065,0.0314,148.8
labels,Russia_C,0,0,alaska,x25,stefan,none,0.0,realmlp,0,3,3,13610,13610,0.5,75.406,-37.606,49.038,0.0184,148.8
labels,Russia_C,0,0,alaska,x25,stefan,none,0.0,realmlp,0,3,3,13610,13610,0.75,76.007,-35.972,51.012,0.0026,148.8
labels,Russia_C,0,0,alaska,x25,stefan,none,0.0,realmlp,0,3,3,13610,13610,1.0,76.702,-34.338,52.985,-0.0157,148.8
labels,Russia_C,0,0,alaska,x25,stefan_cci,none,0.0,realmlp,0,3,3,13610,13610,0.0,70.322,-41.549,42.064,0.1463,147.9
labels,Russia_C,0,0,alaska,x25,stefan_cci,none,0.0,realmlp,0,3,3,13610,13610,0.25,72.284,-43.48,43.718,0.0979,147.9
labels,Russia_C,0,0,alaska,x25,stefan_cci,none,0.0,realmlp,0,3,3,13610,13610,0.5,74.264,-45.41,45.41,0.0479,147.9
labels,Russia_C,0,0,alaska,x25,stefan_cci,none,0.0,realmlp,0,3,3,13610,13610,0.75,76.259,-47.34,47.34,-0.004,147.9
labels,Russia_C,0,0,alaska,x25,stefan_cci,none,0.0,realmlp,0,3,3,13610,13610,1.0,78.27,-49.271,49.271,-0.0576,147.9
covonly,Russia_E,0,0,alaska,x25,none,none,0.0,realmlp,0,12,9,13606,13606,1.0,22.81,-12.545,16.733,-0.4814,148.3
covonly,Russia_E,0,0,alaska,x25,stefan,none,0.0,realmlp,0,12,9,13606,13606,0.0,16.826,-5.861,11.264,0.194,147.5
covonly,Russia_E,0,0,alaska,x25,stefan,none,0.0,realmlp,0,12,9,13606,13606,0.25,16.841,-6.889,11.041,0.1925,147.5
covonly,Russia_E,0,0,alaska,x25,stefan,none,0.0,realmlp,0,12,9,13606,13606,0.5,17.062,-7.916,11.947,0.1712,147.5
covonly,Russia_E,0,0,alaska,x25,stefan,none,0.0,realmlp,0,12,9,13606,13606,0.75,17.481,-8.944,13.048,0.13,147.5
covonly,Russia_E,0,0,alaska,x25,stefan,none,0.0,realmlp,0,12,9,13606,13606,1.0,18.084,-9.971,14.15,0.0689,147.5
covonly,Russia_E,0,0,alaska,x25,stefan_cci,none,0.0,realmlp,0,12,9,13606,13606,0.0,19.44,-9.907,13.528,-0.076,147.5
covonly,Russia_E,0,0,alaska,x25,stefan_cci,none,0.0,realmlp,0,12,9,13606,13606,0.25,18.31,-10.223,13.104,0.0455,147.5
covonly,Russia_E,0,0,alaska,x25,stefan_cci,none,0.0,realmlp,0,12,9,13606,13606,0.5,17.413,-10.539,12.68,0.1367,147.5
covonly,Russia_E,0,0,alaska,x25,stefan_cci,none,0.0,realmlp,0,12,9,13606,13606,0.75,16.787,-10.855,12.845,0.1977,147.5
covonly,Russia_E,0,0,alaska,x25,stefan_cci,none,0.0,realmlp,0,12,9,13606,13606,1.0,16.462,-11.171,13.314,0.2284,147.5
noinfo,Russia_E,0,0,alaska,x25,none,none,0.0,realmlp,0,27,19,13606,13606,1.0,33.18,-15.72,20.226,-0.3094,150.2
noinfo,Russia_E,0,0,alaska,x25,stefan,none,0.0,realmlp,0,27,19,13606,13606,0.0,28.444,-9.287,16.684,0.0377,150.1
noinfo,Russia_E,0,0,alaska,x25,stefan,none,0.0,realmlp,0,27,19,13606,13606,0.25,29.435,-11.108,17.005,-0.0305,150.1
noinfo,Russia_E,0,0,alaska,x25,stefan,none,0.0,realmlp,0,27,19,13606,13606,0.5,30.627,-12.928,18.149,-0.1157,150.1
noinfo,Russia_E,0,0,alaska,x25,stefan,none,0.0,realmlp,0,27,19,13606,13606,0.75,31.999,-14.749,19.601,-0.2179,150.1
noinfo,Russia_E,0,0,alaska,x25,stefan,none,0.0,realmlp,0,27,19,13606,13606,1.0,33.527,-16.57,21.387,-0.337,150.1
noinfo,Russia_E,0,0,alaska,x25,stefan_cci,none,0.0,realmlp,0,27,19,13606,13606,0.0,27.657,-12.204,16.25,0.0902,147.6
noinfo,Russia_E,0,0,alaska,x25,stefan_cci,none,0.0,realmlp,0,27,19,13606,13606,0.25,28.416,-13.52,16.867,0.0396,147.6
noinfo,Russia_E,0,0,alaska,x25,stefan_cci,none,0.0,realmlp,0,27,19,13606,13606,0.5,29.395,-14.837,17.591,-0.0278,147.6
noinfo,Russia_E,0,0,alaska,x25,stefan_cci,none,0.0,realmlp,0,27,19,13606,13606,0.75,30.573,-16.153,18.711,-0.1117,147.6
noinfo,Russia_E,0,0,alaska,x25,stefan_cci,none,0.0,realmlp,0,27,19,13606,13606,1.0,31.927,-17.47,20.06,-0.2124,147.6
labels,Russia_E,0,0,alaska,x25,none,none,0.0,realmlp,0,12,9,13621,13621,1.0,23.364,-4.22,18.456,-0.5542,148.6
labels,Russia_E,0,0,alaska,x25,stefan,none,0.0,realmlp,0,12,9,13621,13621,0.0,16.82,-5.846,11.264,0.1945,147.4
labels,Russia_E,0,0,alaska,x25,stefan,none,0.0,realmlp,0,12,9,13621,13621,0.25,16.758,-6.065,11.725,0.2005,147.4
labels,Russia_E,0,0,alaska,x25,stefan,none,0.0,realmlp,0,12,9,13621,13621,0.5,16.875,-6.284,12.386,0.1892,147.4
labels,Russia_E,0,0,alaska,x25,stefan,none,0.0,realmlp,0,12,9,13621,13621,0.75,17.169,-6.503,13.048,0.1608,147.4
labels,Russia_E,0,0,alaska,x25,stefan,none,0.0,realmlp,0,12,9,13621,13621,1.0,17.63,-6.722,13.711,0.1151,147.4
labels,Russia_E,0,0,alaska,x25,stefan_cci,none,0.0,realmlp,0,12,9,13621,13621,0.0,19.437,-9.9,13.526,-0.0756,147.8
labels,Russia_E,0,0,alaska,x25,stefan_cci,none,0.0,realmlp,0,12,9,13621,13621,0.25,19.471,-9.342,14.411,-0.0793,147.8
labels,Russia_E,0,0,alaska,x25,stefan_cci,none,0.0,realmlp,0,12,9,13621,13621,0.5,19.764,-8.784,15.296,-0.1121,147.8
labels,Russia_E,0,0,alaska,x25,stefan_cci,none,0.0,realmlp,0,12,9,13621,13621,0.75,20.306,-8.226,16.181,-0.174,147.8
labels,Russia_E,0,0,alaska,x25,stefan_cci,none,0.0,realmlp,0,12,9,13621,13621,1.0,21.078,-7.668,17.065,-0.2649,147.8
covonly,Greenland,0,0,alaska,x25,none,none,0.0,realmlp,0,1,1,13606,13606,1.0,27.962,-27.962,27.962,,150.2
covonly,Greenland,0,0,alaska,x25,stefan,none,0.0,realmlp,0,1,1,13606,13606,0.0,30.899,-30.899,30.899,,148.3
covonly,Greenland,0,0,alaska,x25,stefan,none,0.0,realmlp,0,1,1,13606,13606,0.25,32.036,-32.036,32.036,,148.3
covonly,Greenland,0,0,alaska,x25,stefan,none,0.0,realmlp,0,1,1,13606,13606,0.5,33.173,-33.173,33.173,,148.3
covonly,Greenland,0,0,alaska,x25,stefan,none,0.0,realmlp,0,1,1,13606,13606,0.75,34.31,-34.31,34.31,,148.3
covonly,Greenland,0,0,alaska,x25,stefan,none,0.0,realmlp,0,1,1,13606,13606,1.0,35.447,-35.447,35.447,,148.3
covonly,Greenland,0,0,alaska,x25,stefan_cci,none,0.0,realmlp,0,1,1,13606,13606,0.0,21.2,-21.2,21.2,,148.2
covonly,Greenland,0,0,alaska,x25,stefan_cci,none,0.0,realmlp,0,1,1,13606,13606,0.25,21.33,-21.33,21.33,,148.2
covonly,Greenland,0,0,alaska,x25,stefan_cci,none,0.0,realmlp,0,1,1,13606,13606,0.5,21.461,-21.461,21.461,,148.2
covonly,Greenland,0,0,alaska,x25,stefan_cci,none,0.0,realmlp,0,1,1,13606,13606,0.75,21.592,-21.592,21.592,,148.2
covonly,Greenland,0,0,alaska,x25,stefan_cci,none,0.0,realmlp,0,1,1,13606,13606,1.0,21.722,-21.722,21.722,,148.2
noinfo,Greenland,0,0,alaska,x25,none,none,0.0,realmlp,0,1,1,13606,13606,1.0,27.962,-27.962,27.962,,148.3
noinfo,Greenland,0,0,alaska,x25,stefan,none,0.0,realmlp,0,1,1,13606,13606,0.0,30.899,-30.899,30.899,,149.4
noinfo,Greenland,0,0,alaska,x25,stefan,none,0.0,realmlp,0,1,1,13606,13606,0.25,32.036,-32.036,32.036,,149.4
noinfo,Greenland,0,0,alaska,x25,stefan,none,0.0,realmlp,0,1,1,13606,13606,0.5,33.173,-33.173,33.173,,149.4
noinfo,Greenland,0,0,alaska,x25,stefan,none,0.0,realmlp,0,1,1,13606,13606,0.75,34.31,-34.31,34.31,,149.4
noinfo,Greenland,0,0,alaska,x25,stefan,none,0.0,realmlp,0,1,1,13606,13606,1.0,35.447,-35.447,35.447,,149.4
noinfo,Greenland,0,0,alaska,x25,stefan_cci,none,0.0,realmlp,0,1,1,13606,13606,0.0,21.2,-21.2,21.2,,149.9
