Event,macro,lat,lon,n_years,year_min,year_max,alt_mean,alt_sd,alt_min,alt_max,alt_sd_detr,se_multiyear,cv
CALM_M2D,Mongolia_CAsia,47.7764,107.3383,6,2003,2009,125.83333333333333,7.359800721939873,115.0,135.0,5.590169943749373,3.004626062886658,0.05848848255846257
CALM_M2E,Mongolia_CAsia,47.7708,107.2875,8,1999,2009,443.75,48.088460154178364,370.0,520.0,20.572409769296037,17.001838135919304,0.10836836091082448
CALM_M2F,Mongolia_CAsia,47.7528,107.3367,5,2004,2008,549.0,36.12478373637688,510.0,590.0,21.737065119281926,16.155494421403507,0.06580106327208902
CALM_M3,Mongolia_CAsia,47.9236,106.5472,12,1997,2008,702.5,76.29190353802,600.0,800.0,29.344231393647377,22.023575522332404,0.10860057443134519
CALM_M4A,Mongolia_CAsia,49.7883,100.0342,12,1996,2009,401.6666666666667,30.100840620497728,340.0,440.0,24.692840655002765,8.689364217539193,0.07493985216721426
CALM_M4B,Mongolia_CAsia,49.7042,100.1675,7,2000,2006,343.14285714285717,9.063269671749651,325.0,352.0,6.7633465934294605,3.4255939452233686,0.026412526104182994
CALM_M4C,Mongolia_CAsia,49.7847,100.0317,4,2006,2009,1187.5,170.1714821388511,950.0,1350.0,125.99603168354153,85.08574106942555,0.1433023007485062
CALM_M4D,Mongolia_CAsia,49.7828,100.0467,2,2007,2008,405.0,7.0710678118654755,400.0,410.0,,5.0,0.017459426695964137
CALM_M5,Mongolia_CAsia,50.6264,100.1658,4,1999,2002,356.25,54.98105734402228,300.0,430.0,51.41740950300783,27.49052867201114,0.15433279254462395
CALM_M5A,Mongolia_CAsia,50.6592,100.1633,4,1999,2008,380.0,46.9041575982343,310.0,410.0,20.82482819587661,23.45207879911715,0.12343199367956395
CALM_M5B,Mongolia_CAsia,50.6564,100.1625,6,1999,2008,297.5,20.676073128135332,270.0,325.0,18.612116781524428,8.440971508067067,0.0694994054727238
CALM_M5C,Mongolia_CAsia,50.6767,100.1664,3,2006,2008,390.0,122.88205727444507,250.0,480.0,171.46428199481952,70.94598884597588,0.31508219813960275
CALM_M5D,Mongolia_CAsia,50.6767,100.1664,2,2006,2008,245.0,84.8528137423857,185.0,305.0,,60.0,0.3463380152750437
CALM_M6A,Mongolia_CAsia,48.0819,99.3733,11,1999,2009,218.36363636363637,12.101840581272974,205.0,235.0,7.945775829668966,3.648842225525359,0.05542058550957648
CALM_M7A,Mongolia_CAsia,48.0411,100.3917,9,1999,2009,154.44444444444446,19.288021613887146,136.0,180.0,8.744177571356849,6.429340537962382,0.12488647088128367
CALM_M7B,Mongolia_CAsia,48.6361,100.3756,8,2002,2009,279.375,10.500850305706543,260.0,290.0,10.940404943029318,3.7126112296949634,0.037586936217294115
CALM_M8,Mongolia_CAsia,49.4903,98.6564,8,2002,2009,281.25,5.175491695067655,275.0,290.0,5.446347254141847,1.829812636778499,0.018401748249129442
CALM_M9,Mongolia_CAsia,47.0389,107.6861,4,2001,2004,299.0,4.898979485566358,295.0,305.0,5.966573556070508,2.449489742783179,0.016384546774469426
CALM_N1,Svalbard,78.1793,16.467,27,1998,2024,178.4814814814815,14.887708844677013,152.0,218.0,10.07174305371264,2.8651409030303485,0.08341318506044393
CALM_N2,Scandinavia,61.6776,8.3693,25,1999,2024,228.48,15.108275877809483,198.0,246.0,12.82197079640005,3.0216551755618966,0.06612515702822779
CALM_N3,Svalbard,78.201,15.8364,24,2000,2023,99.95833333333333,7.1046779853391255,74.0,110.0,6.373214183207161,1.4502363209054703,0.07107639501798209
CALM_N5,Scandinavia,62.2958,9.352,17,2002,2024,558.5882352941177,77.10225258020142,486.0,712.0,43.71056548123978,18.70004302124837,0.13803057012041114
CALM_P1,Svalbard,77.5667,14.5,15,1990,2009,154.73333333333332,25.451541257474993,131.0,197.0,16.75058599128936,6.571559695034108,0.16448647947528003
CALM_P2A,Svalbard,78.6833,11.8333,7,1999,2005,117.57142857142857,7.067699834626604,106.0,128.0,7.254555219210377,2.6713394433820463,0.06011409336863454
CALM_P2B,Svalbard,78.6833,11.8333,7,1999,2005,146.71428571428572,21.453160495323193,108.0,168.0,15.106999323870902,8.108532500997203,0.14622407348321553
CALM_P2C,Svalbard,78.6833,11.8333,7,1999,2005,205.71428571428572,20.467163015541793,170.0,230.0,22.246508554313465,7.735860483163199,0.0994931535477726
CALM_R1,Russia_W,65.3149,72.8642,28,1997,2024,149.78571428571428,29.53636445801726,101.0,199.0,17.411826384207036,5.581848213491481,0.19719079752610474
CALM_R10,Russia_E,64.0833,177.0667,3,1992,1994,55.333333333333336,4.041451884327381,51.0,59.0,5.307227776030034,2.3333333333333335,0.07303828706615748
CALM_R11,Russia_E,64.5667,177.2,28,1996,2024,56.142857142857146,6.144641060030585,45.0,67.0,5.703241822471499,1.1612280100426597,0.10944653287586283
CALM_R12A,Russia_E,70.9167,156.6333,2,1996,2023,31.0,8.48528137423857,25.0,37.0,,5.999999999999999,0.2737187540076958
CALM_R12B,Russia_E,70.9167,156.6333,1,1996,1996,27.0,,27.0,27.0,,,
CALM_R13A,Russia_E,70.0833,159.5833,24,1997,2023,43.291666666666664,5.614261085506435,33.0,55.0,5.680527449474587,1.146006245187897,0.12968456790390226
CALM_R13B,Russia_E,70.0833,159.9167,22,2000,2023,40.09090909090909,7.615204658532954,25.0,56.0,7.802464206822404,1.6235670883938074,0.18994841551896255
CALM_R14,Russia_E,69.4833,156.9833,19,1996,2021,44.8421052631579,3.65548534389282,38.0,49.0,2.8095071582483047,0.8386258528222541,0.08151903935911219
CALM_R15A,Russia_E,69.3833,158.4667,21,1996,2023,35.04761904761905,7.851599776327053,25.0,60.0,7.941090243275327,1.713359538167479,0.2240266240528099
CALM_R15B,Russia_E,69.3833,158.4667,18,1999,2023,42.166666666666664,5.565122481607581,32.0,54.0,5.73115893052548,1.3117119482928095,0.1319791892871363
CALM_R16,Russia_E,69.0833,158.9,21,1996,2023,51.666666666666664,10.716031603785673,30.0,75.0,10.78374665202869,2.3384298082803276,0.20740706329907754
