region,cond,method,n_splits,n_seeds,n_cells,n_blocks,coverage,coverage_sd_seed,width_mean,interval_score,is_under,is_over,frac_inf,Q_mean,cov_ci_lo,cov_ci_hi,is_ci_lo,is_ci_hi,ci_flag
Lena,noinfo,anchor_iw,1,3,2958,20,0.9322740590489069,0.006124714104891238,59.64242650020234,97.41229183482483,0.17096780709672244,37.598897527525764,0.0,,0.7904840016374813,0.9649361438265716,68.43239913669471,244.36255112243845,
Russia_C,noinfo,raw,1,3,7,6,0.19047619047619047,0.06734350297014738,13.15007013152089,657.7780973006512,94.47875202894244,550.1492751401879,0.0,,,,,,blocks<8
Russia_C,noinfo,cqr_ak,1,3,7,6,0.619047619047619,0.13468700594029479,41.480761036139256,520.80736225921,10.122157238935364,469.20444398413537,0.0,14.165345452309182,,,,,blocks<8
Russia_C,noinfo,cqr_iw,1,3,7,6,0.42857142857142855,0.11664236870396086,28.89702576657655,565.1967927016392,31.141793609319603,505.1579733257431,0.0,,,,,,blocks<8
Russia_C,noinfo,anchor_ak,1,3,7,6,0.5714285714285714,0.11664236870396087,64.95782941421443,420.4896882059904,30.154924214542266,325.37693457723367,0.0,32.478914707107215,,,,,blocks<8
Russia_C,noinfo,anchor_iw,1,3,7,6,0.5238095238095238,0.06734350297014738,64.8011342459057,400.8051342130116,10.179364908990092,325.82463505811575,0.0,,,,,,blocks<8
Russia_E,covonly,raw,3,3,12,17,0.25396825396825395,0.05750395452298273,14.729963626128333,350.42473543262366,61.623139792689614,274.07163201380564,0.0,,0.11230048782798144,0.44421190193249016,114.2400601663045,541.7592801492696,
Russia_E,covonly,cqr_ak,3,3,12,17,0.6596921596921597,0.14209484076486503,43.060654530746696,229.88804702423826,8.97553724187277,177.85185525161876,0.0,14.165345452309182,0.48037367724867724,0.8964081996434936,59.830634642012924,383.39404321990605,
Russia_E,covonly,cqr_iw,3,3,12,17,0.623977873977874,0.10960810004276221,40.237817550866176,231.16220443413863,7.7103834369561985,183.21400344631627,0.0,,0.4373464251797585,0.8662591189674523,56.12391256887853,389.4694588669447,
Russia_E,covonly,anchor_ak,3,3,12,17,0.7733285233285233,0.06411237530238774,64.95782941421443,204.0145150705922,0.0,139.05668565637777,0.0,32.478914707107215,0.6075240756528054,1.0,64.95782941421443,319.0764324832805,
Russia_E,covonly,anchor_iw,3,3,12,17,0.7733285233285233,0.06411237530238774,78.2298517651037,182.71306697511352,0.0,104.4832152100098,0.0,,0.6075240756528054,1.0,78.22985176510369,279.62458491042867,
Russia_E,covonly,cqr_pseudo,3,3,12,17,0.4178691678691678,0.06509142452472415,28.423377793655163,275.32650409790637,25.688549596916907,221.2145767073343,0.0,6.846707083763413,0.22338489057239055,0.6854034037857565,73.6851059102167,445.64396896446937,
Russia_E,covonly,cqr_real,3,3,12,17,0.8737373737373737,0.02550890264020729,116.80803507726223,211.47521048348122,0.0,94.66717540621897,0.0,51.03903572556697,0.7331154684095861,1.0,116.1736388264074,305.99000411266303,
Russia_E,covonly,anchor_pseudo,3,3,12,17,0.5734728234728235,0.013094570021973107,23.788003982852512,274.52772515883504,0.46527191911171656,250.27444925687087,0.0,11.894001991426256,0.3666786758563074,0.9305555555555555,25.080240372644443,457.4534598173964,
Russia_E,covonly,anchor_real,3,3,12,17,0.8917748917748919,0.0,124.88948719412001,197.34809134346793,0.0,72.4586041493479,0.0,62.44474359706001,0.7712418300653594,1.0,124.88948719411998,270.608002409291,
Russia_E,noinfo,raw,1,3,27,19,0.30864197530864196,0.07610387657986391,14.907693422803685,279.1669996403179,67.57744754938359,196.68185866813062,0.0,,0.14581068840579708,0.46397946859903355,114.1173875886338,472.95544986643887,
Russia_E,noinfo,cqr_ak,1,3,27,19,0.7283950617283951,0.12590171638500702,43.23838432742206,179.1414249460797,8.803368428713215,127.09967218994444,0.0,14.165345452309182,0.5640804597701148,0.8939393939393938,58.528617225741236,334.6611312614239,
Russia_E,noinfo,cqr_iw,1,3,27,19,0.6913580246913581,0.09720997375323222,40.41554734754153,179.43020654574715,7.519000102779304,131.49565909542636,0.0,,0.5262531328320801,0.8718253968253967,53.6199925216111,340.648745464063,
Russia_E,noinfo,anchor_ak,1,3,27,19,0.8395061728395061,0.034918853391928274,64.95782941421444,162.99624467889876,0.0,98.03841526468426,0.0,32.478914707107215,0.7105050933786078,1.0,71.98753477119547,278.53732522490816,
Russia_E,noinfo,anchor_iw,1,3,27,19,0.8395061728395061,0.034918853391928274,78.22985176510367,152.52223653391243,0.0,74.29238476880876,0.0,,0.7105050933786078,1.0,79.73723546613108,251.36346737247598,
Russia_W,covonly,raw,3,3,14,16,0.1900871459694989,0.03183363659303367,22.050371154612495,535.0666776567265,5.734898573814689,507.2814079282993,0.0,,0.06068076173339331,0.29261242331417747,403.1187039585431,714.2214569384661,
Russia_W,covonly,cqr_ak,3,3,14,16,0.34150326797385616,0.08551024795987087,50.381062059230864,356.93457799464363,0.4913107091065826,306.0622052263062,0.0,14.165345452309182,0.16947345214889076,0.45183073201165314,231.48213751905132,513.2009157712624,
Russia_W,covonly,cqr_iw,3,3,14,16,0.3404139433551198,0.08395930190559224,36.454797273113,440.4012945307818,0.0,403.9464972576688,0.0,,0.14957358674463936,0.4603415103415103,308.96762274341444,600.7811143330762,
Russia_W,covonly,anchor_ak,3,3,14,16,0.6154684095860566,0.1253338865532927,64.95782941421443,258.08587020767,0.0,193.12804079345554,0.0,32.478914707107215,0.4569144526497467,0.75267501017501,151.3669210279487,375.07104392049814,
Russia_W,covonly,anchor_iw,3,3,14,16,0.5811546840958606,0.054034234532618325,60.307324980056926,257.95277111269075,0.0,197.64544613263385,0.0,,0.3573477497161708,0.7471393557422968,140.9041446990159,385.72211799813783,
Russia_W,covonly,cqr_pseudo,3,3,14,16,0.23638344226579522,0.035432365941809575,29.79467559376614,485.52191146380454,3.6962469346505933,452.0309889353878,0.0,3.8721522195768205,0.10162037037037039,0.3268333333333332,352.2355649028339,652.1140768515005,
Russia_W,covonly,cqr_real,3,3,14,16,0.9722222222222222,0.0,194.35492923711658,197.69715416937026,0.0,3.3422249322536963,0.0,86.15227904125203,0.9089826839826841,1.0,192.77950845303616,204.60381443583364,
Russia_W,covonly,anchor_pseudo,3,3,14,16,0.36764705882352944,0.0,46.01402577716382,336.3686010492112,18.422900671871858,271.9316746001754,0.0,23.00701288858191,0.23326923076923076,0.496021999443052,218.7724616610419,466.5321186925196,
Russia_W,covonly,anchor_real,3,3,14,16,0.9722222222222222,0.0,180.1878762095163,192.7737911583118,0.0,12.585914948795486,0.0,90.09393810475817,0.9089826839826841,1.0,180.1878762095163,221.4271793469332,
Russia_W,noinfo,raw,1,3,28,18,0.16666666666666666,0.01683587574253685,22.392496018534946,584.2416350776159,4.15275439570156,557.6963846633794,0.0,,0.06341991341991342,0.2647549019607843,451.63935991538807,769.9012290279998,
Russia_W,noinfo,cqr_ak,1,3,28,18,0.32142857142857145,0.08748177652797064,50.72318692315332,397.8136239163681,0.37029821917885286,346.7201387740359,0.0,14.165345452309182,0.19992424242424245,0.42857142857142855,278.71685762186945,565.6434407877921,
Russia_W,noinfo,cqr_iw,1,3,28,18,0.29761904761904756,0.06734350297014738,36.79692213703545,485.4595863395115,0.0,448.662664202476,0.0,,0.16666666666666666,0.42536945812807875,360.52819662817177,660.2529301222987,
Russia_W,noinfo,anchor_ak,1,3,28,18,0.5714285714285714,0.1336306209562122,64.95782941421444,281.92273012154936,0.0,216.96490070733492,0.0,32.478914707107215,0.4444444444444444,0.7072951739618404,194.2673479483941,404.19614278496556,
Russia_W,noinfo,anchor_iw,1,3,28,18,0.5595238095238095,0.044543540318737376,60.3073249800569,283.86617634647985,0.0,223.5588513664229,0.0,,0.4090909090909091,0.7027226631393294,190.75330523120175,410.2262527192029,
Alaska_S11,in_domain_x34,raw,6,3,13606,74,0.4456,,14.65,123.91063411551812,65.73739050397336,43.52312187628749,,,0.3227,0.6167,88.04456019403369,153.7775354751781,S11 x34 v1 참조(파일)
Alaska_S11,in_domain_x34,cqr_ak,6,3,13606,74,0.9344,,53.64,68.8521236161095,2.659636362919623,12.55277102814859,,,0.8894,0.9659,58.6440086409932,94.92015877266616,S11 x34 v1 참조(파일)
