target,anchor,method,lam,scope,n,rmse_mean,rmse_sd,rmse_med,rmse_p10,rmse_p90,rmse_beq_mean,bias_mean,delta_mean,win_frac,n_runs,n_splits,E_mean,E_sd
Canada,stefan_cci,shrink,0.0,allA,360,24.810175540719936,,24.810175540719936,24.810175540719936,24.810175540719936,28.695101276865696,15.804971023056506,2.6013742730145992,0.0,1,1,1.849946419926407,
Canada,stefan_cci,shrink,0.0,allA,363,30.46350226551328,,30.46350226551328,30.46350226551328,30.46350226551328,27.760766481343136,5.046217633409856,-0.542409380334302,1.0,1,1,1.4802276790410644,
Canada,stefan_cci,shrink,0.0,allA,375,28.91367345910325,,28.91367345910325,28.91367345910325,28.91367345910325,23.102274298322744,-4.650374256764643,0.3933679863190669,0.0,1,1,1.3295791248076483,
Canada,stefan_cci,shrink,0.0,allA,396,23.04572858493982,,23.04572858493982,23.04572858493982,23.04572858493982,26.539717779882764,7.016227386724631,0.1876761113701484,0.0,1,1,1.647596022697632,
Canada,stefan_cci,shrink,0.0,allA,404,23.640338809916816,,23.640338809916816,23.640338809916816,23.640338809916816,24.461081868270465,16.34946774458559,2.5403151693252077,0.0,1,1,1.8199157746853856,
Canada,stefan_cci,shrink,0.0,allA,406,28.297620501523866,,28.297620501523866,28.297620501523866,28.297620501523866,23.11730131522497,-7.314457208880667,1.026015668699955,0.0,1,1,1.3141833829575624,
Canada,stefan_cci,shrink,0.0,allA,420,24.330637185053625,,24.330637185053625,24.330637185053625,24.330637185053625,29.18814836732438,8.305926876972464,0.14154308939509974,0.0,1,1,1.6368919191106324,
Canada,stefan_cci,shrink,0.0,n,3,26.234612279069616,3.293392423010711,26.028073347447908,22.268526190894093,30.37054464210963,26.461112880569225,5.452469058708971,1.2258459454515842,0.285,200,10,1.6063931966126568,0.30169788521563495
Canada,stefan_cci,shrink,0.0,n,5,26.103926212192476,3.0564715422043633,25.969886684643676,22.132506998005717,30.210280576680077,26.257121549954576,4.512671551869567,1.095159878574443,0.31,200,10,1.5597957320419713,0.2818213936642642
Canada,stefan_cci,shrink,0.0,n,10,26.178322019193637,2.6856302490810013,25.90794958115882,22.717901753699643,30.156121368045664,26.24785170939177,4.489747687459662,1.169555685575605,0.225,200,10,1.5601502497941147,0.2684620242180888
