target,covariate,smd,mean_target,mean_alaska,sd_alaska,frac_out_of_range
Russia_W,sg_soc_0_5,-1.9015,228.61785714285716,336.8058430104586,56.89505731772616,0.0
Russia_W,sg_soc_5_15,-1.8385,170.42142857142852,251.40138174330676,44.04752716178568,0.0
Russia_W,sg_soc_15_30,-1.2211,107.14999999999998,154.47353373512777,38.75503132975286,0.0
Russia_W,cci_alt,0.7311,60.892857142857146,45.384409819195696,21.213805096647707,0.0357
Russia_W,cci_valid,0.0,1.0,1.0,1e-09,0.0
Russia_C,dem_elev,0.3247,271.0933344704764,181.84215300820202,274.8946117111606,0.0
Russia_C,dem_slope,0.5816,2.3142328986099785,1.399505900963838,1.572642073879445,0.0
Russia_C,dem_aspect_sin,-0.2886,-0.2609221168926784,-0.06264024185136277,0.6870525248719316,0.0
Russia_C,dem_aspect_cos,-0.2636,-0.24786211124488286,-0.05768227067336716,0.7216008500482517,0.0
Russia_C,dem_tpi,0.2651,1.3146253313337053,0.3322139534199569,3.705335767769674,0.0
Russia_C,dem_rough,0.0054,4.636019195829119,4.604529477617556,5.800575893471224,0.0
Russia_C,e5_maat,-0.7309,-8.039067268371582,-5.218376572696868,3.8589574458878384,0.4286
Russia_C,e5_tdd,0.7289,1414.8910653250557,1012.6724253705928,551.8497866823501,0.0
Russia_C,e5_fdd,1.5474,4312.515058244978,2893.492136062427,917.0311714112186,0.7143
Russia_C,e5_sqrt_tdd,0.7154,36.78200852763232,30.643929961919227,8.580325278019894,0.0
Russia_C,e5_twarm,0.9978,14.031568254743304,10.372708037024681,3.6668200134168116,0.1429
Russia_C,e5_tcold,-2.5556,-30.31213160923549,-19.876627891638094,4.083319849518482,0.7143
Russia_C,e5_stl1,-0.0519,0.33662125042506635,0.44564474153580336,2.101854007035509,0.1429
Russia_C,e5_swe,-0.8485,0.0354981073843581,0.05161559994971947,0.018995700845967762,0.2857
Russia_C,sg_clay_5_15,0.9519,22.016666666666666,18.191628693222906,4.0182277671951185,0.0
Russia_C,sg_sand_5_15,1.7825,50.51666666666667,36.78630016169372,7.702784395513122,0.2857
Russia_C,sg_silt_5_15,-1.9598,27.53333333333333,45.04264295163955,8.934304706476668,0.7143
Russia_C,sg_bdod_5_15,2.6601,1.055,0.643704983095651,0.15461396499699573,0.5714
Russia_C,sg_cfvo_5_15,3.0327,15.716666666666667,5.171666911656869,3.4770637952541827,0.1429
Russia_C,sg_phh2o_5_15,1.1807,6.033333333333334,5.563236807291503,0.39815197289552556,0.0
Russia_C,sg_soc_0_5,-3.4972,137.83333333333334,336.8058430104586,56.89505731772616,0.0
Russia_C,sg_soc_5_15,-3.5031,97.09999999999998,251.40138174330676,44.04752716178568,0.2857
Russia_C,sg_soc_15_30,-2.4399,59.916666666666664,154.47353373512777,38.75503132975286,0.0
Russia_C,cci_alt,0.9314,65.14285714285715,45.384409819195696,21.213805096647707,0.0
Russia_C,cci_valid,0.0,1.0,1.0,1e-09,0.0
Russia_E,dem_elev,-0.1332,145.23906450801425,181.84215300820202,274.8946117111606,0.1111
Russia_E,dem_slope,0.591,2.328986331268593,1.399505900963838,1.572642073879445,0.037
Russia_E,dem_aspect_sin,0.263,0.1180645070573384,-0.06264024185136277,0.6870525248719316,0.037
Russia_E,dem_aspect_cos,0.402,0.23239632671993,-0.05768227067336716,0.7216008500482517,0.0
Russia_E,dem_tpi,-0.0182,0.26485042218808774,0.3322139534199569,3.705335767769674,0.0
Russia_E,dem_rough,0.4136,7.003524003205476,4.604529477617556,5.800575893471224,0.0
Russia_E,e5_maat,-0.8494,-8.496193947615447,-5.218376572696868,3.8589574458878384,0.5185
Russia_E,e5_tdd,0.1098,1073.2750210232205,1012.6724253705928,551.8497866823501,0.0
Russia_E,e5_fdd,1.3602,4140.8465084499785,2893.492136062427,917.0311714112186,0.7778
Russia_E,e5_sqrt_tdd,0.2298,32.61595033445114,30.643929961919227,8.580325278019894,0.0
Russia_E,e5_twarm,0.217,11.168503372757524,10.372708037024681,3.6668200134168116,0.0
Russia_E,e5_tcold,-2.0671,-28.31738789876302,-19.876627891638094,4.083319849518482,0.7778
Russia_E,e5_stl1,0.023,0.4940378661784861,0.44564474153580336,2.101854007035509,0.0
Russia_E,e5_swe,1.214,0.07467620806009678,0.05161559994971947,0.018995700845967762,0.0741
Russia_E,sg_clay_5_15,0.8031,21.41851851851852,18.191628693222906,4.0182277671951185,0.0
Russia_E,sg_sand_5_15,0.2374,38.614814814814814,36.78630016169372,7.702784395513122,0.037
Russia_E,sg_silt_5_15,-0.5636,40.007407407407406,45.04264295163955,8.934304706476668,0.1481
Russia_E,sg_bdod_5_15,3.2889,1.1522222222222223,0.643704983095651,0.15461396499699573,0.7778
Russia_E,sg_cfvo_5_15,1.7284,11.18148148148148,5.171666911656869,3.4770637952541827,0.037
Russia_E,sg_phh2o_5_15,1.1249,6.011111111111112,5.563236807291503,0.39815197289552556,0.0
Russia_E,sg_soc_0_5,-3.8701,116.61851851851851,336.8058430104586,56.89505731772616,0.2222
Russia_E,sg_soc_5_15,-3.7873,84.58148148148148,251.40138174330676,44.04752716178568,0.2222
Russia_E,sg_soc_15_30,-2.2212,68.39259259259259,154.47353373512777,38.75503132975286,0.0
Russia_E,cci_alt,0.0713,46.89629629629629,45.384409819195696,21.213805096647707,0.0
Russia_E,cci_valid,0.0,1.0,1.0,1e-09,0.0
Svalbard,dem_elev,-0.3547,84.34369965394337,181.84215300820202,274.8946117111606,0.3333
Svalbard,dem_slope,0.2663,1.8183318376541138,1.399505900963838,1.572642073879445,0.3333
Svalbard,dem_aspect_sin,0.9255,0.5731986165046692,-0.06264024185136277,0.6870525248719316,0.0
Svalbard,dem_aspect_cos,0.665,0.4221961696942647,-0.05768227067336716,0.7216008500482517,0.0
Svalbard,dem_tpi,3.178,12.107711633046469,0.3322139534199569,3.705335767769674,0.3333
Svalbard,dem_rough,1.9532,15.934264500935873,4.604529477617556,5.800575893471224,0.0
Svalbard,e5_maat,0.0895,-4.8728706041971845,-5.218376572696868,3.8589574458878384,0.0
Svalbard,e5_tdd,-1.1063,402.14012654622394,1012.6724253705928,551.8497866823501,0.6667
Svalbard,e5_fdd,-0.7961,2163.4864298502603,2893.492136062427,917.0311714112186,0.0
Svalbard,e5_sqrt_tdd,-1.2634,19.803643636672238,30.643929961919227,8.580325278019894,0.6667
Svalbard,e5_twarm,-1.3099,5.5697021484375,10.372708037024681,3.6668200134168116,0.6667
Svalbard,e5_tcold,1.5204,-13.668467203776041,-19.876627891638094,4.083319849518482,0.3333
Svalbard,e5_stl1,-1.7035,-3.134827454884847,0.44564474153580336,2.101854007035509,1.0
Svalbard,e5_swe,22.3555,0.4762730970978737,0.05161559994971947,0.018995700845967762,0.6667
Svalbard,sg_clay_5_15,-0.5537,15.966666666666667,18.191628693222906,4.0182277671951185,0.0
Svalbard,sg_sand_5_15,1.4125,47.666666666666664,36.78630016169372,7.702784395513122,0.0
Svalbard,sg_silt_5_15,-0.9711,36.36666666666667,45.04264295163955,8.934304706476668,0.0
Svalbard,sg_bdod_5_15,1.0324,0.8033333333333332,0.643704983095651,0.15461396499699573,0.0
Svalbard,sg_cfvo_5_15,3.4785,17.266666666666666,5.171666911656869,3.4770637952541827,0.3333
Svalbard,sg_phh2o_5_15,1.683,6.233333333333334,5.563236807291503,0.39815197289552556,0.0
Svalbard,sg_soc_0_5,-1.7999,234.4,336.8058430104586,56.89505731772616,0.0
Svalbard,sg_soc_5_15,-1.6944,176.76666666666665,251.40138174330676,44.04752716178568,0.0
Svalbard,sg_soc_15_30,-0.6195,130.46666666666667,154.47353373512777,38.75503132975286,0.0
Svalbard,cci_alt,-0.191,41.333333333333336,45.384409819195696,21.213805096647707,0.0
Svalbard,cci_valid,0.0,1.0,1.0,1e-09,0.0
Mongolia_CAsia,dem_elev,5.7356,1758.516726471657,181.84215300820202,274.8946117111606,1.0
Mongolia_CAsia,dem_slope,2.2936,5.006462822473327,1.399505900963838,1.572642073879445,0.0233
Mongolia_CAsia,dem_aspect_sin,-0.0562,-0.1012496575009251,-0.06264024185136277,0.6870525248719316,0.0
Mongolia_CAsia,dem_aspect_cos,-0.0721,-0.10968493492624094,-0.05768227067336716,0.7216008500482517,0.0
Mongolia_CAsia,dem_tpi,-0.2902,-0.7431896121002907,0.3322139534199569,3.705335767769674,0.0465
Mongolia_CAsia,dem_rough,2.8591,21.18884030053782,4.604529477617556,5.800575893471224,0.0
Mongolia_CAsia,e5_maat,0.7211,-2.4355411349340925,-5.218376572696868,3.8589574458878384,0.0233
Mongolia_CAsia,e5_tdd,1.1035,1621.6302745730377,1012.6724253705928,551.8497866823501,0.0698
Mongolia_CAsia,e5_fdd,-0.4472,2483.4254143293515,2893.492136062427,917.0311714112186,0.0
Mongolia_CAsia,e5_sqrt_tdd,1.0928,40.020626864295046,30.643929961919227,8.580325278019894,0.0698
Mongolia_CAsia,e5_twarm,1.166,14.648039352062137,10.372708037024681,3.6668200134168116,0.0233
Mongolia_CAsia,e5_tcold,-0.321,-21.18738893020985,-19.876627891638094,4.083319849518482,0.0
Mongolia_CAsia,e5_stl1,0.3224,1.1231852067244608,0.44564474153580336,2.101854007035509,0.0
Mongolia_CAsia,e5_swe,-2.1666,0.01045957627316368,0.05161559994971947,0.018995700845967762,0.907
Mongolia_CAsia,sg_clay_5_15,1.6579,24.853488372093025,18.191628693222906,4.0182277671951185,0.0
Mongolia_CAsia,sg_sand_5_15,0.5857,41.29767441860466,36.78630016169372,7.702784395513122,0.0
Mongolia_CAsia,sg_silt_5_15,-1.2464,33.906976744186046,45.04264295163955,8.934304706476668,0.3488
Mongolia_CAsia,sg_bdod_5_15,3.7063,1.2167441860465116,0.643704983095651,0.15461396499699573,1.0
Mongolia_CAsia,sg_cfvo_5_15,3.3958,16.979069767441857,5.171666911656869,3.4770637952541827,0.1395
Mongolia_CAsia,sg_phh2o_5_15,3.9766,7.146511627906978,5.563236807291503,0.39815197289552556,0.3953
Mongolia_CAsia,sg_soc_0_5,-4.595,75.37441860465115,336.8058430104586,56.89505731772616,0.7907
Mongolia_CAsia,sg_soc_5_15,-4.683,45.12558139534883,251.40138174330676,44.04752716178568,0.9767
Mongolia_CAsia,sg_soc_15_30,-3.1951,30.646511627906982,154.47353373512777,38.75503132975286,0.7907
Mongolia_CAsia,cci_alt,4.1889,134.24651162790698,45.384409819195696,21.213805096647707,0.4419
Mongolia_CAsia,cci_valid,0.0,1.0,1.0,1e-09,0.0
Alps,dem_elev,9.7173,2853.064178466797,181.84215300820202,274.8946117111606,1.0
Alps,dem_slope,12.6076,21.226716578006744,1.399505900963838,1.572642073879445,0.625
Alps,dem_aspect_sin,-0.1562,-0.1699497140944004,-0.06264024185136277,0.6870525248719316,0.0
Alps,dem_aspect_cos,0.1335,0.03867549635469916,-0.05768227067336716,0.7216008500482517,0.0
Alps,dem_tpi,10.4834,39.17657470703125,0.3322139534199569,3.705335767769674,0.75
Alps,dem_rough,17.2426,104.6212854385376,4.604529477617556,5.800575893471224,0.875
Alps,e5_maat,1.2772,-0.2897310554981233,-5.218376572696868,3.8589574458878384,0.375
Alps,e5_tdd,0.2773,1165.710506439209,1012.6724253705928,551.8497866823501,0.0
Alps,e5_fdd,-1.7876,1254.2525939941406,2893.492136062427,917.0311714112186,0.5
Alps,e5_sqrt_tdd,0.3459,33.61160487957983,30.643929961919227,8.580325278019894,0.0
Alps,e5_twarm,0.0247,10.463207244873047,10.372708037024681,3.6668200134168116,0.0
Alps,e5_tcold,2.1115,-11.254898071289062,-19.876627891638094,4.083319849518482,0.5
Alps,e5_stl1,0.459,1.41044863127172,0.44564474153580336,2.101854007035509,0.125
Alps,e5_swe,55.1079,1.0984288603067398,0.05161559994971947,0.018995700845967762,1.0
Alps,sg_clay_5_15,-0.2499,17.1875,18.191628693222906,4.0182277671951185,0.0
Alps,sg_sand_5_15,0.8797,43.5625,36.78630016169372,7.702784395513122,0.0
Alps,sg_silt_5_15,-0.6442,39.2875,45.04264295163955,8.934304706476668,0.0
Alps,sg_bdod_5_15,3.0159,1.11,0.643704983095651,0.15461396499699573,1.0
Alps,sg_cfvo_5_15,3.6822,17.975,5.171666911656869,3.4770637952541827,0.375
Alps,sg_phh2o_5_15,0.9714,5.95,5.563236807291503,0.39815197289552556,0.0
Alps,sg_soc_0_5,-4.2395,95.6,336.8058430104586,56.89505731772616,0.5
Alps,sg_soc_5_15,-4.433,56.137499999999996,251.40138174330676,44.04752716178568,1.0
Alps,sg_soc_15_30,-2.896,42.2375,154.47353373512777,38.75503132975286,0.25
Alps,cci_alt,0.3661,53.15,45.384409819195696,21.213805096647707,0.375
Alps,cci_valid,0.0,1.0,1.0,1e-09,0.0
Tibet,dem_elev,14.2244,4092.0491681780136,181.84215300820202,274.8946117111606,0.8571
Tibet,dem_slope,0.7475,2.575131024633135,1.399505900963838,1.572642073879445,0.0
Tibet,dem_aspect_sin,0.2836,0.13218647241592404,-0.06264024185136277,0.6870525248719316,0.0
Tibet,dem_aspect_cos,-0.1414,-0.1597112789750099,-0.05768227067336716,0.7216008500482517,0.0
Tibet,dem_tpi,-1.0349,-3.5025634765625,0.3322139534199569,3.705335767769674,0.0
Tibet,dem_rough,0.5706,7.914369736398969,4.604529477617556,5.800575893471224,0.0
Tibet,e5_maat,-0.0451,-5.39234060900552,-5.218376572696868,3.8589574458878384,0.0
Tibet,e5_tdd,-0.5899,687.1444920131138,1012.6724253705928,551.8497866823501,0.2857
Tibet,e5_fdd,-0.2798,2636.8680572509766,2893.492136062427,917.0311714112186,0.0
Tibet,e5_sqrt_tdd,-0.7041,24.60220237125836,30.643929961919227,8.580325278019894,0.2857
Tibet,e5_twarm,-0.746,7.637403215680804,10.372708037024681,3.6668200134168116,0.2857
Tibet,e5_tcold,0.4333,-18.107417515345983,-19.876627891638094,4.083319849518482,0.0
