cond,target,dset,xset,anchor,pseudo,r,resid,iw,lam,seed,n_splits,n_cells,n_blocks,coverage,cov_ci_lo,cov_ci_hi,width_mean,width_median,interval_score,is_ci_lo,is_ci_hi,is_width_part,is_under_part,is_over_part,rmse_point,n_seed,family_tag,note
noinfo,Russia_C,alaska,x25,stefan_cci,none,0.0,nflow,0,1.0,2,1,7.0,6.0,0.2857142857142857,,,17.85753491095134,18.415428638458252,744.4880182657923,,,17.85753491095134,65.58873857770648,661.0417447771345,68.51295968649352,1.0,residual,
noinfo,Russia_C,alaska,x25,stefan_cci,none,0.0,nflow,0,1.0,mean,1,7.0,6.0,0.3333333333333333,,,22.762555264291308,17.539148926734924,669.0182963992589,,,22.762555264291308,109.61228514474534,536.6434559902223,68.15433262998128,3.0,residual,
labels,Russia_C,alaska,x25,stefan_cci,none,0.0,cfm,0,0.25,0,1,3.0,3.0,0.3333333333333333,,,5.8128854632377625,5.679492652416229,785.2259712184177,,,5.8128854632377625,10.334757566452026,769.0783281887279,68.74538513163755,1.0,residual,
labels,Russia_C,alaska,x25,stefan_cci,none,0.0,cfm,0,0.25,1,1,3.0,3.0,0.3333333333333333,,,13.61353317896525,8.010117292404175,694.3553062046276,,,13.61353317896525,12.40639845530192,668.3353745703604,70.96852881623124,1.0,residual,
labels,Russia_C,alaska,x25,stefan_cci,none,0.0,cfm,0,0.25,2,1,3.0,3.0,0.6666666666666666,,,12.219485878944397,8.900534391403198,727.753823614588,,,12.219485878944397,0.0,715.5343377356436,70.26898761903745,1.0,residual,
labels,Russia_C,alaska,x25,stefan_cci,none,0.0,cfm,0,0.25,mean,1,3.0,3.0,0.4444444444444444,,,10.54863484038247,7.530048112074534,735.7783670125444,,,10.54863484038247,7.580385340584648,717.6493468315772,69.99430052230207,3.0,residual,
labels,Russia_C,alaska,x25,stefan_cci,none,0.0,cfm,0,0.5,0,1,3.0,3.0,0.0,,,11.625770926475525,11.358985304832458,774.596544944383,,,11.625770926475525,36.44110547171697,726.5296685461905,67.46268521970948,1.0,residual,
labels,Russia_C,alaska,x25,stefan_cci,none,0.0,cfm,0,0.5,1,1,3.0,3.0,0.0,,,27.2270663579305,16.02023458480835,581.6762223274878,,,27.2270663579305,29.40539466010198,525.0437613094554,71.80744323329421,1.0,residual,
labels,Russia_C,alaska,x25,stefan_cci,none,0.0,cfm,0,0.5,2,1,3.0,3.0,0.6666666666666666,,,24.438971757888794,17.801068782806396,643.8806593979106,,,24.438971757888794,0.0,619.4416876400218,70.37813156998139,1.0,residual,
labels,Russia_C,alaska,x25,stefan_cci,none,0.0,cfm,0,0.5,mean,1,3.0,3.0,0.2222222222222222,,,21.09726968076494,15.060096224149069,666.7178088899271,,,21.09726968076494,21.948833377272987,623.6717058318892,69.88275334099502,3.0,residual,
labels,Russia_C,alaska,x25,stefan_cci,none,0.0,cfm,0,0.75,0,1,3.0,3.0,0.0,,,17.438656389713287,17.038477957248688,765.7596088877691,,,17.438656389713287,64.33994359440273,683.9810089036531,66.49135282432994,1.0,residual,
labels,Russia_C,alaska,x25,stefan_cci,none,0.0,cfm,0,0.75,1,1,3.0,3.0,0.0,,,40.84059953689575,24.030351877212524,476.37912496242643,,,40.84059953689575,53.786377376980234,381.75214804855045,72.83249758197091,1.0,residual,
labels,Russia_C,alaska,x25,stefan_cci,none,0.0,cfm,0,0.75,2,1,3.0,3.0,0.3333333333333333,,,36.65845763683319,26.701603174209595,565.2274469168357,,,36.65845763683319,5.219951735602469,523.3490375444001,70.64909473426914,1.0,residual,
labels,Russia_C,alaska,x25,stefan_cci,none,0.0,cfm,0,0.75,mean,1,3.0,3.0,0.1111111111111111,,,31.64590452114741,22.590144336223602,602.4553935890103,,,31.64590452114741,41.11542423566181,529.6940648322012,69.99098171352333,3.0,residual,
labels,Russia_C,alaska,x25,stefan_cci,none,0.0,cfm,0,1.0,0,1,3.0,3.0,0.0,,,23.25154185295105,22.717970609664917,756.9226728311551,,,23.25154185295105,92.23878171708846,641.4323492611155,65.84516904803978,1.0,residual,
