target,anchor,method,lam,physics_rmse,n0,n3,n3_win,n5,n5_win,n10,n10_win,n20,n20_win,n40,n40_win,n80,n80_win,rmse_allA,n_allA,n_min_mean,n_min_win90,beats_physics_all_larger_n
Russia_E,stefan,both,0.5,25.065862372515394,25.711245562817293,28.8555654750494,0.11666666666666667,27.48923057050914,0.26666666666666666,26.67506385748398,0.19333333333333333,,,,,,,21.49013400816514,16.0,-1,-1,False
Russia_E,stefan,both_ls,0.25,25.065862372515394,25.326203965576713,31.13715560703061,0.16333333333333333,28.242887600813756,0.30666666666666664,26.897946495131848,0.30666666666666664,,,,,,,21.90393059697486,16.0,-1,-1,False
Russia_E,stefan,both_ls,0.5,25.065862372515394,25.711245562817293,31.830303007379396,0.12,28.82893206388202,0.23,27.211424765729813,0.19666666666666666,,,,,,,22.000271185907895,16.0,-1,-1,False
Russia_E,stefan,locscale,0.0,25.065862372515394,25.065862372515394,,,30.978238502238437,0.295,27.843765443033465,0.46,,,,,,,24.102257914768327,16.0,-1,-1,False
Russia_E,stefan,refit,0.0,25.065862372515394,25.065862372515394,29.76666519318263,0.24,27.745789752016464,0.37,26.622850965599746,0.44,,,,,,,21.880127339869368,16.0,-1,-1,False
Russia_E,stefan,resid,0.25,25.065862372515394,25.326203965576713,25.2691351131928,0.26,25.207208291192536,0.36333333333333334,25.188964636446165,0.3466666666666667,,,,,,,19.824361200822768,16.0,-1,-1,False
Russia_E,stefan,resid,0.5,25.065862372515394,25.711245562817293,25.838359015233735,0.14666666666666667,25.575742698457557,0.20666666666666667,25.483603806316726,0.25666666666666665,,,,,,,20.00766822734763,16.0,-1,-1,False
Russia_E,stefan,shrink,0.0,25.065862372515394,25.065862372515394,27.198413385750538,0.265,26.524288998775464,0.4,26.085325168959216,0.475,,,,,,,21.346729279732692,16.0,-1,-1,False
Russia_E,stefan,shrink_k10,0.0,25.065862372515394,25.065862372515394,25.03840125104992,0.475,24.994880389129367,0.585,24.990464078799373,0.685,,,,,,,19.960662685706236,16.0,3,-1,True
Russia_E,stefan_cci,both,0.25,25.543293639490127,25.29651168246446,25.368198061223634,0.5233333333333333,24.83416901107321,0.73,24.68180757672067,0.6833333333333333,,,,,,,19.579423805780493,16.0,3,-1,True
Russia_E,stefan_cci,both,0.5,25.543293639490127,25.360720186981816,25.977135686320896,0.5066666666666667,25.345908938194345,0.6033333333333334,25.09524709160678,0.5866666666666667,,,,,,,19.927601994891386,16.0,5,-1,True
Russia_E,stefan_cci,both_ls,0.25,25.543293639490127,25.29651168246446,26.185835892893934,0.38,25.025997567942838,0.6833333333333333,24.712759664446068,0.6966666666666667,,,,,,,19.60679827354579,16.0,5,-1,True
Russia_E,stefan_cci,both_ls,0.5,25.543293639490127,25.360720186981816,26.928096462666353,0.38666666666666666,25.63669558965907,0.5433333333333333,25.17114006093587,0.5866666666666667,,,,,,,20.018501313850173,16.0,10,-1,True
Russia_E,stefan_cci,locscale,0.0,25.543293639490127,25.543293639490127,,,26.375320564351128,0.475,25.071159515667556,0.71,,,,,,,20.69715365876214,16.0,10,-1,True
