cond,target,dset,xset,anchor,pseudo,r,resid,iw,lam,rmse,rmse_split_sd,rmse_ens,bias,n,n_blocks,n_split,n_seed,fit_s,rmse_cc,n_cc,regime,family_tag
covonly,Canada,alaska,x25,none,none,0.0,ens_cb_mlp,0,1.0,33.708578768760326,,33.56159877587432,-16.59182047247977,374,19,1,3,1.4333333333333333,33.752758416118546,373,main,direct
covonly,Canada,alaska,x25,none,none,0.0,ens_cb_mlp,1,1.0,31.662014138833044,,31.619356649464702,-14.38802280484552,374,19,1,3,0.6,31.702825763926388,373,main,direct
covonly,Canada,alaska,x25,none,none,0.0,ens_cb_mlp_cfm,0,1.0,35.54336363543865,,35.33017479877815,-14.979151373443813,374,19,1,3,2.6666666666666665,35.585669429023916,373,main,direct
covonly,Canada,alaska,x25,none,none,0.0,ftt,0,1.0,33.20133333333333,,33.05184606425199,-15.115333333333334,374,19,1,3,11.366666666666667,33.24517869343729,373,main,direct
covonly,Canada,alaska,x25,none,none,0.0,mlp,0,1.0,32.88133333333334,,32.39856538509151,-15.715333333333334,374,19,1,3,1.1333333333333333,32.91282575470745,373,main,direct
covonly,Canada,alaska,x25,none,none,0.0,mlp,1,1.0,36.495,,36.33344195262747,-19.746,374,19,1,3,0.13333333333333333,36.54340792153079,373,main,direct
covonly,Canada,alaska,x25,none,none,0.0,nflow,0,1.0,48.416,,48.023263694092286,-25.36,374,19,1,3,8.700000000000001,48.46940616193524,373,main,direct
covonly,Canada,alaska,x25,none,none,0.0,realmlp,0,1.0,37.254,,37.254152079497615,-19.824,374,19,1,1,145.7,37.30358463687586,373,main,direct
covonly,Canada,alaska,x25,none,none,0.0,ridge,0,1.0,42.353,,42.35284686897681,-29.907,374,19,1,3,0.0,42.375947401219904,373,main,direct
covonly,Canada,alaska,x25,none,none,0.0,tabm,0,1.0,34.129333333333335,,32.66555284747456,-14.538666666666666,374,19,1,3,3.1333333333333333,34.159541255891604,373,main,direct
covonly,Canada,alaska,x25,none,shuffle,10.0,catboost_lo,0,1.0,34.04977777777778,1.8506253097364225,34.046502798816825,-8.646333333333333,374,19,3,3,1.2222222222222223,34.07511179981441,373,main,augment_direct
covonly,Canada,alaska,x25,none,stefan,10.0,catboost_lo,0,1.0,29.97711111111111,1.7612211777732614,29.95935581580467,-7.760333333333333,374,19,3,3,1.2333333333333334,29.99434168713486,373,main,augment_direct
covonly,Canada,alaska,x25,none,stefan_k2,10.0,catboost_lo,0,1.0,31.597333333333335,1.3767407566826484,31.592077094105843,-10.368555555555554,374,19,3,3,1.288888888888889,31.62163989245313,373,main,augment_direct
covonly,Canada,alaska,x25,none,stefan_soil,10.0,catboost_lo,0,1.0,30.825666666666663,1.3929111401824739,30.821570277439992,-10.249555555555554,374,19,3,3,1.2777777777777777,30.847552342819487,373,main,augment_direct
covonly,Canada,alaska,x25,none,tddlin,10.0,catboost_lo,0,1.0,30.72677777777778,1.6657521602144967,30.721443317221475,-9.21722222222222,374,19,3,3,1.2777777777777777,30.75138950052525,373,main,augment_direct
covonly,Canada,alaska,x25,stefan,cci,10.0,catboost_lo,0,0.0,29.73533333333333,2.187843306394068,29.735199689912818,-4.964333333333333,374,19,3,3,1.1333333333333335,29.760095685463657,373,main,analytic
covonly,Canada,alaska,x25,stefan,cci,10.0,catboost_lo,0,0.25,27.694444444444446,2.598143703435915,27.69184372596399,-1.8455555555555556,374,19,3,3,1.1333333333333335,27.71721857698491,373,main,formula_mix
covonly,Canada,alaska,x25,stefan,cci,10.0,catboost_lo,0,0.5,26.941555555555553,3.002380191583808,26.92884940183859,1.2732222222222225,374,19,3,3,1.1333333333333335,26.962603533373436,373,main,formula_mix
covonly,Canada,alaska,x25,stefan,cci,10.0,catboost_lo,0,0.75,27.58877777777778,3.3278585261952434,27.55848978140614,4.392222222222222,374,19,3,3,1.1333333333333335,27.609114983182863,373,main,formula_mix
covonly,Canada,alaska,x25,stefan,cci,10.0,catboost_lo,0,1.0,29.547888888888888,3.5414395430441883,29.49653790203277,7.511,374,19,3,3,1.1333333333333335,29.568723184571397,373,main,formula_mix
covonly,Canada,alaska,x25,stefan,const,10.0,catboost_lo,0,0.0,29.73533333333333,2.187843306394068,29.735199689912818,-4.964333333333333,374,19,3,3,1.1888888888888889,29.760095685463657,373,main,analytic
